begin,end,chord
0.0,0.016849,N
0.016849,1.4227889999999999,Ab
1.4227889999999999,2.850816,Eb
2.850816,4.116303,Ab
4.116303,5.474671,Eb
5.474671,6.809817999999999,Ab
6.809817999999999,8.156575,Eb
8.156575,9.491723,Ab
9.491723,10.81526,Eb
10.81526,12.138798,Ab
12.138798,13.450725,Eb
13.450725,14.809092000000001,F:min
14.809092000000001,16.17907,Bb
16.17907,17.537437,F:min
17.537437,18.849365,Bb
18.849365,19.545963,Eb
19.545963,20.219342,F:dim
20.219342,20.904331,F#:dim
20.904331,21.600929,G:dim
21.600929,22.947687,Ab
22.947687,24.329273999999998,Eb
24.329273999999998,25.594761,Ab
25.594761,26.929909000000002,Eb
26.929909000000002,28.276666,Ab
28.276666,29.565374,Eb
29.565374,30.923740999999996,Ab
30.923740999999996,32.247278,Eb
32.247278,33.570816,Ab
33.570816,34.859522999999996,Eb
34.859522999999996,36.229501,F:min
36.229501,37.553038,Bb
37.553038,38.864965000000005,F:min
38.864965000000005,40.176893,Bb
40.176893,40.827052,Eb
40.827052,41.4656,F:dim
41.4656,42.104149,F#:dim
42.104149,42.800748,G:dim
42.800748,44.112675,Ab
44.112675,45.459433000000004,Eb
45.459433000000004,46.690090000000005,Ab
46.690090000000005,48.002018,C
48.002018,49.325555,Bb:min
49.325555,50.614263,C
50.614263,51.926190000000005,Db
51.926190000000005,53.156848,Ab
53.156848,58.300068,Eb
58.300068,59.565555,Bb:min
59.565555,60.865873,C
60.865873,62.14297,Db
62.14297,65.974263,Eb
65.974263,67.28414000000001,Ab
67.28414000000001,68.528525,Eb
68.528525,69.747505,Ab
69.747505,71.08279,Eb
71.08279,72.35975,Ab
72.35975,73.64845799999999,Eb
73.64845799999999,74.925555,F:min
74.925555,76.260702,Bb
76.260702,77.547898,F:min
77.547898,78.798849,Bb
78.798849,79.430226,Eb
79.430226,80.094081,F:dim
80.094081,80.725092,F#:dim
80.725092,81.380702,G:dim
81.380702,82.63458,Ab
82.63458,83.923287,Eb
83.923287,85.188775,Ab
85.188775,86.500702,Eb
86.500702,87.7778,Ab
87.7778,89.031678,Eb
89.031678,90.320385,Ab
90.320385,91.62070200000001,Eb
91.62070200000001,92.87458000000001,Ab
92.87458000000001,94.163287,Eb
94.163287,95.428775,F:min
95.428775,96.740702,Bb
96.740702,98.00619,F:min
98.00619,99.306507,Bb
99.306507,99.968276,Eb
99.968276,100.571995,F:dim
100.571995,101.268594,F#:dim
101.268594,101.90714200000001,G:dim
101.90714200000001,103.19585,Ab
103.19585,104.484557,Eb
104.484557,105.784875,Ab:min
105.784875,107.13163200000001,Eb
107.13163200000001,108.38551000000001,Ab:min
108.38551000000001,109.63938700000001,Eb
109.63938700000001,110.939705,Bb
110.939705,114.31803700000002,Eb
114.31803700000002,117.954725,A
117.954725,121.08299699999999,E
121.08299699999999,124.34285700000001,N
