begin,end,chord
0.0,0.651019,N
0.651019,4.478164,C#:min
4.478164,8.367506,F#:min
8.367506,12.198799000000001,A
12.198799000000001,16.088141,F#:min
16.088141,19.977483,D
19.977483,23.855216,E
23.855216,27.709728000000002,A
27.709728000000002,31.599071000000002,F#:min
31.599071000000002,35.511633,D
35.511633,39.389365000000005,E
39.389365000000005,43.313538,A
43.313538,47.214490000000005,F#:min
47.214490000000005,51.138663,D
51.138663,55.074445,E
55.074445,58.928957,A
58.928957,62.841519999999996,F#:min
62.841519999999996,66.788912,D
66.788912,70.643424,E
70.643424,74.532767,A
74.532767,78.433719,F#:min
78.433719,82.381111,D
82.381111,86.31689399999999,E
86.31689399999999,90.241066,A
90.241066,94.17684799999999,F#:min
94.17684799999999,98.159071,D
98.159071,102.08324300000001,E
102.08324300000001,106.042245,A
106.042245,109.95480800000001,F#:min
109.95480800000001,113.84415,D
113.84415,117.81476200000002,E
117.81476200000002,121.773765,A
121.773765,125.66310700000001,F#:min
125.66310700000001,129.61018,D
129.61018,133.511452,E
133.511452,137.412404,A
137.412404,141.336576,F#:min
141.336576,145.24913899999999,D
145.24913899999999,149.23136100000002,E
149.23136100000002,151.591638,A
151.591638,156.734694,N
