begin,end,chord
0.0,1.014823,D/2
1.014823,1.701428,A/5
1.701428,3.326825,E
3.326825,4.081473,D/2
4.081473,4.778072,A/5
4.778072,6.287369,E
6.287369,7.007188,D
7.007188,7.564467,A
7.564467,9.155033999999999,E
9.155033999999999,9.874852,D
9.874852,10.397300999999999,A
10.397300999999999,11.976258,E
11.976258,13.415895,G
13.415895,14.843922000000001,B
14.843922000000001,15.575351000000001,C
15.575351000000001,16.12102,D
16.12102,17.723197,E
17.723197,18.454625,C
18.454625,19.000294,D
19.000294,20.590861,E
20.590861,21.34551,D/2
21.34551,22.065328,A/5
22.065328,23.539795,E
23.539795,24.259614000000003,D/2
24.259614000000003,25.025873,A/5
25.025873,26.53517,E
26.53517,27.231768,D
27.231768,27.789046999999997,A
27.789046999999997,29.426053999999997,E
29.426053999999997,30.134263,D
30.134263,30.679931,A
30.679931,32.258888,E
32.258888,33.675306,G
33.675306,35.091722999999995,B
35.091722999999995,35.823151,C
35.823151,36.36882,D
36.36882,37.994217,E
37.994217,38.714036,C
38.714036,39.259705,D
39.259705,40.873492,E
40.873492,41.61653,D/2
41.61653,42.347959,A/5
42.347959,43.868866,E
43.868866,44.693174,D/2
44.693174,45.447823,A/5
45.447823,46.99195,E
46.99195,47.676938,D
47.676938,48.222607,A
48.222607,49.848003999999996,E
49.848003999999996,50.556213,D
50.556213,51.090272,A
51.090272,52.680839,E
52.680839,53.400656999999995,D
53.400656999999995,53.946326,A
53.946326,55.560113,E
55.560113,56.291541,D
56.291541,56.848819999999996,A
56.848819999999996,58.474217,E
58.474217,59.205645999999994,D
59.205645999999994,59.751315000000005,A
59.751315000000005,61.353492,E
61.353492,62.07331,D
62.07331,62.60736899999999,A
62.60736899999999,64.232766,E
64.232766,64.97580400000001,D
64.97580400000001,65.509863,A
65.509863,67.12365,E
67.12365,67.86668900000001,D
67.86668900000001,68.423968,A
68.423968,72.75102,E
