begin,end,chord
0.0,0.4021,N
0.4021,2.412599,A
2.412599,3.2550939999999997,N
3.2550939999999997,14.073494,A
14.073494,16.21746,E:7
16.21746,22.521678,A
22.521678,27.537188,D
27.537188,32.622358,A
32.622358,38.891746000000005,A
38.891746000000005,43.942085999999996,D
43.942085999999996,48.829886,E
48.829886,51.326031,B:min
51.326031,53.845395999999994,E
53.845395999999994,56.364761,B:min
56.364761,56.782720999999995,G
56.782720999999995,57.3088,A
57.3088,60.021904000000006,F#
60.021904000000006,62.506439,E
62.506439,64.990975,A
64.990975,67.35941,D
67.35941,69.832335,A
69.832335,72.34009,D
72.34009,74.743356,A
74.743356,77.181451,D
77.181451,82.150521,E
82.150521,88.21092900000001,A
88.21092900000001,93.09873,D/5
93.09873,97.90526,A
97.90526,104.012108,A
104.012108,108.888299,D/5
108.888299,113.718049,E
113.718049,116.109705,B:min
116.109705,118.52458,E
118.52458,121.043945,B:min
121.043945,121.473514,G
121.473514,122.077233,A
122.077233,124.72430800000001,F#
124.72430800000001,126.99986299999999,E
126.99986299999999,129.368299,A
129.368299,131.759954,D
131.759954,134.05873,A
134.05873,136.461995,D
136.461995,138.84204,A
138.84204,141.233696,D
141.233696,145.982176,E
145.982176,151.98453500000002,A
151.98453500000002,156.767845,D/5
156.767845,161.597596,A
161.597596,167.55351399999998,A
167.55351399999998,172.278775,D/5
172.278775,173.51565300000001,E
173.51565300000001,174.70526,E:sus2(b7)
174.70526,175.854648,E:maj6
175.854648,177.015646,E:7
177.015646,179.395691,B:min
179.395691,181.822176,E
181.822176,184.225442,B:min
184.225442,184.643401,G
184.643401,185.2239,A
185.2239,187.847755,F#
187.847755,190.15814,E
190.15814,192.561405,A
192.561405,194.906621,D
194.906621,197.251836,A
197.251836,199.620272,D
199.620272,201.988707,A
201.988707,204.333922,D
204.333922,209.837052,E
209.837052,212.19387700000001,A
212.19387700000001,214.527482,D/5
214.527482,216.89591800000002,A
216.89591800000002,219.275963,D/5
219.275963,221.609569,A
221.609569,223.89673399999998,D/5
223.89673399999998,226.21873,A
226.21873,228.69165499999997,D/5
228.69165499999997,230.96721000000002,A
230.96721000000002,233.335646,D/5
233.335646,235.69247099999998,A
235.69247099999998,238.02607700000002,D/5
238.02607700000002,240.29002200000002,A
240.29002200000002,242.612018,D/5
242.612018,244.945623,A
244.945623,247.290839,D/5
247.290839,249.62444399999998,A
249.62444399999998,252.01609900000003,D/5
252.01609900000003,254.338095,A
254.338095,255.73877599999997,N
