begin,end,chord
0.0,0.440395,N
0.440395,1.014823,A
1.014823,6.644221000000001,D
6.644221000000001,9.431878999999999,G
9.431878999999999,12.241493,D
12.241493,13.657910999999999,G
13.657910999999999,15.074328,A
15.074328,16.525575,D
16.525575,17.965212,D/5
17.965212,19.37002,D
19.37002,20.844487,G
20.844487,23.735371,D
23.735371,26.707525,G
26.707525,29.679678999999997,D
29.679678999999997,31.142537,G
31.142537,32.640223999999996,A
32.640223999999996,35.623988,D
35.623988,37.110065000000006,D
37.110065000000006,38.619362,G
38.619362,41.637956,D
41.637956,44.65655,G
44.65655,47.640314000000004,D
47.640314000000004,49.138001,G
49.138001,50.658908000000004,A
50.658908000000004,53.65428299999999,D
53.65428299999999,55.14036,D
55.14036,56.638047,G
56.638047,59.621811,D
59.621811,62.652015000000006,G
62.652015000000006,65.670609,D
65.670609,67.249566,G
67.249566,68.689203,A
68.689203,71.707797,D
71.707797,77.536006,D
77.536006,80.47333,G
80.47333,83.364215,D
83.364215,84.83868199999999,G
84.83868199999999,86.243489,A
86.243489,89.192423,D
89.192423,90.62045,D
90.62045,92.071698,G
92.071698,95.02063199999999,D
95.02063199999999,97.94634599999999,G
97.94634599999999,100.87206,D
100.87206,102.358137,G
102.358137,103.80938499999999,A
103.80938499999999,106.793149,D
106.793149,108.256006,D
108.256006,109.753693,G
109.753693,112.71423700000001,D
112.71423700000001,115.732831,G
115.732831,118.751425,D
118.751425,120.272332,G
120.272332,121.77002,A
121.77002,124.800224,D
124.800224,126.30952099999999,D
126.30952099999999,127.84203799999999,G
127.84203799999999,130.895462,D
130.895462,133.879226,G
133.879226,136.88621,D
136.88621,138.395507,G
138.395507,139.928024,A
139.928024,142.888568,D
142.888568,148.821267,D
148.821267,151.77020100000001,G
151.77020100000001,154.788795,D
154.788795,157.221035,A
157.221035,157.760949,D/3
157.760949,158.550428,G
158.550428,159.130927,A
159.130927,159.699815,D
159.699815,163.42486200000002,D
163.42486200000002,167.627755,N
