begin,end,chord
0.0,0.41124700000000003,N
0.41124700000000003,8.587755,D
8.587755,11.269658999999999,D
11.269658999999999,13.974784,B:min
13.974784,16.691519,D
16.691519,19.396643,B:min
19.396643,20.789841,B:min
20.789841,22.136598,E
22.136598,23.494965,B:min
23.494965,24.841723,E
24.841723,26.223309999999998,B:min
26.223309999999998,26.896689000000002,E:min/b3
26.896689000000002,27.616507000000002,F#
27.616507000000002,30.275191999999997,B:min
30.275191999999997,35.685442,D
35.685442,38.390566,D
38.390566,41.118911,B:min
41.118911,43.824036,D
43.824036,46.52916,B:min
46.52916,47.899138,B:min
47.899138,49.257505,E
49.257505,50.604263,B:min
50.604263,51.96263,E
51.96263,53.367437,B:min
53.367437,54.017596,E:min/b3
54.017596,54.690975,F#
54.690975,57.396099,B:min
57.396099,62.899229000000005,D:maj6
62.899229000000005,65.534693,G
65.534693,68.204988,D
68.204988,70.956553,A
70.956553,73.68489699999999,D
73.68489699999999,76.378412,D
76.378412,79.095147,B:min
79.095147,81.811882,D
81.811882,84.563446,B:min
84.563446,85.94503399999999,B:min
85.94503399999999,87.291791,E
87.291791,88.673378,B:min
88.673378,90.054965,E
90.054965,91.401723,B:min
91.401723,92.075102,E:min/b3
92.075102,92.7717,F#
92.7717,95.476825,B:min
95.476825,100.927059,D
100.927059,103.580589,D
103.580589,106.26249399999999,B:min
106.26249399999999,109.002448,D
109.002448,111.73079299999999,B:min
111.73079299999999,113.11238,B:min
113.11238,114.482358,E
114.482358,115.82911499999999,B:min
115.82911499999999,117.210702,E
117.210702,118.6039,B:min
118.6039,119.27727800000001,E:min/b3
119.27727800000001,119.962267,F#
119.962267,122.69061200000002,B:min
122.69061200000002,137.250077,D
137.250077,138.68408200000002,N
