begin,end,chord
0.0,1.416923,N
1.416923,6.768639,E:7
6.768639,12.701336999999999,E
12.701336999999999,16.4978,F#
16.4978,20.665782,A
20.665782,24.497073999999998,G
24.497073999999998,28.630226,B
28.630226,29.640294,E:min
29.640294,30.627142,C/3
30.627142,31.60238,C#:dim/b3
31.60238,32.577619,C/3
32.577619,34.574535,C:maj7
34.574535,35.691146999999994,G
35.691146999999994,36.571451,N
36.571451,42.03975,E:7
42.03975,47.995668,E
47.995668,51.792131,F#
51.792131,55.983332999999995,A
55.983332999999995,59.756575,G
59.756575,63.970997,B
63.970997,64.95784499999999,E:min
64.95784499999999,65.944693,C/3
65.944693,66.954761,C#:dim/b3
66.954761,67.90678,C/3
67.90678,69.926916,C:maj7
69.926916,71.01849,G
71.01849,71.900612,N
71.900612,73.89752800000001,E:min
73.89752800000001,75.848004,A
75.848004,76.556213,A:sus4(2)
76.556213,77.65916,A
77.65916,78.402199,G
78.402199,79.551587,B
79.551587,81.548503,E:min
81.548503,83.568639,A
83.568639,84.30006800000001,A:sus4(2)
84.30006800000001,85.461065,A
85.461065,86.18088399999999,G
86.18088399999999,87.28383199999999,B
87.28383199999999,95.167006,E
95.167006,99.126009,F#
99.126009,103.073401,A
103.073401,107.12528300000001,G
107.12528300000001,111.02623500000001,B
111.02623500000001,112.01308300000001,E:min
112.01308300000001,112.988321,C/3
112.988321,113.99838999999999,C#:dim/b3
113.99838999999999,114.95040800000001,C/3
114.95040800000001,116.93571399999999,C:maj7
116.93571399999999,117.98758000000001,G
117.98758000000001,118.96746,N
118.96746,120.941156,E:min
120.941156,122.914852,A
122.914852,123.71594099999999,A:sus4(2)
123.71594099999999,124.79566799999999,A
124.79566799999999,125.561927,G
125.561927,126.722925,B
126.722925,128.696621,E:min
128.696621,130.69353700000002,A
130.69353700000002,131.436575,E:sus4(2)
131.436575,132.585963,E
132.585963,133.329002,G
133.329002,134.582879,B
134.582879,142.547324,E
142.547324,146.32056599999999,F#
146.32056599999999,150.523378,A
150.523378,154.308231,G
154.308231,158.499433,B
158.499433,159.509501,E:min
159.509501,160.473129,C/3
160.473129,161.471587,C#:dim/b3
161.471587,162.411995,C/3
162.411995,164.40891100000002,C:maj7
164.40891100000002,165.454508,G
165.454508,166.370997,N
166.370997,167.40428500000002,E:min
167.40428500000002,168.379523,C/3
168.379523,169.319931,C#:dim/b3
169.319931,170.30678,C/3
170.30678,172.315306,C:maj7
172.315306,173.439062,G
173.439062,174.915918,N
