begin,end,chord
0.0,0.5172100000000001,N
0.5172100000000001,1.148857,G:(1)
1.148857,12.533536999999999,N
12.533536999999999,20.532811,F
20.532811,21.542879,F
21.542879,22.564557,Ab
22.564557,23.586235000000002,Bb
23.586235000000002,24.607913,F
24.607913,26.651269,Bb
26.651269,28.578526,F
28.578526,29.611814000000003,F
29.611814000000003,30.621882,Ab
30.621882,31.66678,Bb
31.66678,32.700068,F
32.700068,34.755034,G
34.755034,36.6939,C
36.6939,38.760476000000004,Bb
38.760476000000004,40.803832,F
40.803832,42.823968,G
42.823968,44.820884,D
44.820884,45.842562,G
45.842562,46.85263,Bb
46.85263,47.862697999999995,C
47.862697999999995,48.907596000000005,G
48.907596000000005,50.950952,C
50.950952,52.959478000000004,G
52.959478000000004,54.015986,G
54.015986,55.014444,Bb
55.014444,56.036122,C
56.036122,57.06941,G
57.06941,59.089546,A
59.089546,61.086462,D
61.086462,63.141428000000005,C
63.141428000000005,65.14995400000001,G
65.14995400000001,67.1817,A
67.1817,71.198752,C:maj(2)
71.198752,73.242108,G
73.242108,75.273854,Bb
75.273854,77.27077,C
77.27077,78.915918,G
