begin,end,chord
0.0,12.350209,N
12.350209,17.502607,A:7
17.502607,20.068412,C:7
20.068412,21.682199,G
21.682199,22.599387,D
22.599387,23.911315,G:7
23.911315,25.200022,A:7
25.200022,26.54678,C:7
26.54678,27.765827,G:7
27.765827,29.031315000000003,G:7
29.031315000000003,30.331632,A:7
30.331632,31.63195,C:7
31.63195,32.839387,G:7
32.839387,35.428412,A:7
35.428412,37.936167,C:7
37.936167,39.224875,G
39.224875,40.501971999999995,C
40.501971999999995,42.951678,G
42.951678,45.529092,C:7
45.529092,48.060068,F
48.060068,50.591043,C
50.591043,55.664603,D
55.664603,56.99975,G
56.99975,58.300068,Bb:maj6
58.300068,59.565555,C
59.565555,60.865873,G
60.865873,63.443287,C
63.443287,65.916213,G
65.916213,67.19331,G
67.19331,68.435578,Bb:maj6
68.435578,69.643015,C
69.643015,70.885283,G
70.885283,73.393038,A
73.393038,75.90079300000001,D
75.90079300000001,78.408548,C
78.408548,80.823424,G
80.823424,83.040929,A:7
83.040929,83.644648,C:sus4
83.644648,84.201927,C/9
84.201927,85.746054,G
85.746054,88.195759,C
88.195759,90.599024,F:7
90.599024,93.07195,C
93.07195,97.93653,D
97.93653,99.306507,G:7
99.306507,100.537165,A:7
100.537165,101.791043,C:7
101.791043,103.01009,G:7
103.01009,104.229138,G:7
104.229138,105.401746,A:7
105.401746,106.678843,C:7
106.678843,107.88628100000001,G:7
107.88628100000001,110.359206,A:7
110.359206,112.72764099999999,C:7
112.72764099999999,113.99312900000001,G
113.99312900000001,115.212176,C:7
115.212176,117.650272,G
117.650272,122.43591799999999,C
