begin,end,chord
0.0,1.646695,E
1.646695,3.036575,E/b7
3.036575,4.441383,E/6
4.441383,5.91585,E/5
5.91585,8.899614,A
8.899614,11.860158,D
11.860158,14.867142000000001,A
14.867142000000001,17.734807,D
17.734807,20.672131,A
20.672131,23.621064999999998,D
23.621064999999998,26.57,D
26.57,29.530544,A
29.530544,30.272372999999998,D:min
30.272372999999998,31.038278000000002,D:min/2
31.038278000000002,31.785034999999997,D:min/b3
31.785034999999997,32.512644,D:min/4
32.512644,35.451632000000004,A
35.451632000000004,36.150690000000004,D:min
36.150690000000004,36.929204999999996,D:min/b7
36.929204999999996,37.682499,D:min/6
37.682499,38.354126,D:min/5
38.354126,41.361111,G
41.361111,42.475668,C
42.475668,43.567006,C/7
43.567006,44.263605,C/6
44.263605,47.270589,G
47.270589,48.419977,C
48.419977,51.65916,A
51.65916,54.66614499999999,D
54.66614499999999,57.684739,A
57.684739,60.691722999999996,D
60.691722999999996,63.629047,A
63.629047,66.612811,D
66.612811,69.584965,D
69.584965,72.49906999999999,A
72.49906999999999,75.517664,D
75.517664,78.478208,A
78.478208,81.450362,D
81.450362,84.387687,A
84.387687,87.37145100000001,D
87.37145100000001,90.33199499999999,D
90.33199499999999,93.292539,A
93.292539,94.090972,D:min
94.090972,94.800886,D:min/2
94.800886,95.52445300000001,D:min/b3
95.52445300000001,96.287913,D:min/4
96.287913,99.329727,A
99.329727,100.084376,D:min
100.084376,100.850634,D:min/b7
100.850634,101.524013,D:min/6
101.524013,102.255442,D:min/5
102.255442,105.262426,G
105.262426,106.37698400000001,C
106.37698400000001,107.47993100000001,C/7
107.47993100000001,108.24618999999998,C/6
108.24618999999998,111.241564,G
111.241564,112.379342,C
112.379342,116.781281,A
116.781281,117.733878,N
