begin,end,chord
0.0,0.440395,N
0.440395,2.548956,Bb
2.548956,4.789682,Bb
4.789682,6.879478,Bb
6.879478,8.005646,Bb
8.005646,9.096983999999999,Ab
9.096983999999999,11.337709,Eb
11.337709,12.382607,Bb
12.382607,13.520385000000001,Ab
13.520385000000001,15.668231,Eb
15.668231,16.782789,Bb
16.782789,17.908956,Ab
17.908956,20.126462,Eb
20.126462,20.96238,Bb
20.96238,22.297528,Ab
22.297528,23.145056,Eb
23.145056,24.515034,Bb
24.515034,25.374172,Bb
25.374172,26.732539000000003,Ab
26.732539000000003,27.591678,Eb
27.591678,28.984875,Bb
28.984875,30.145872999999998,Bb
30.145872999999998,31.202379999999998,Ab:maj(9)
31.202379999999998,33.396665999999996,Eb
33.396665999999996,34.488004,Bb
34.488004,35.602562,Ab:maj(9)
35.602562,37.796848,Eb
37.796848,38.888185,Bb
38.888185,40.002743,Ab:maj(9)
40.002743,42.208639,Eb
42.208639,43.044557,Bb
43.044557,44.356485,Ab
44.356485,45.204013,Eb
45.204013,46.5856,Bb
46.5856,47.444739,Bb
47.444739,48.791496,Ab
48.791496,49.731904,Eb
49.731904,51.101882,Bb
51.101882,52.204829,Bb
52.204829,53.319387,Ab
53.319387,55.59494300000001,Bb
55.59494300000001,57.324829,Ab
57.324829,59.04310600000001,Bb
59.04310600000001,60.761382999999995,F:min
60.761382999999995,64.139886,Bb
64.139886,65.881383,Eb
65.881383,69.29471600000001,Bb
69.29471600000001,71.00138299999999,Eb
71.00138299999999,72.16238,Bb
72.16238,73.28854799999999,Ab
73.28854799999999,75.552494,Eb
75.552494,76.701882,Bb
76.701882,77.862879,Ab
77.862879,80.103605,Eb
80.103605,81.252993,Bb
81.252993,82.41399,Ab
82.41399,84.619886,Eb
84.619886,85.479024,Bb
85.479024,86.860612,Ab
86.860612,87.70814,Eb
87.70814,89.089727,Bb
89.089727,89.890816,Bb
89.890816,91.307233,Ab
91.307233,92.18959100000001,Eb
92.18959100000001,93.61761899999999,Bb
93.61761899999999,94.76700600000001,Bb
94.76700600000001,95.893174,Ab
95.893174,98.14551,Bb
98.14551,99.910226,Ab
99.910226,101.674943,Bb
101.674943,103.381609,F:min
103.381609,106.80655300000001,Bb
106.80655300000001,108.501609,Eb
108.501609,111.926553,Bb
111.926553,113.59839,Eb
113.59839,114.73248600000001,Bb
114.73248600000001,115.978435,Ab
115.978435,118.23076999999999,Eb
118.23076999999999,119.368548,Bb
119.368548,120.494716,Ab
120.494716,122.78188200000001,Eb
122.78188200000001,123.91965900000001,Bb
123.91965900000001,125.103877,Ab
125.103877,127.379433,Eb
127.379433,128.215351,Bb
128.215351,129.620158,Ab
129.620158,130.444467,Eb
130.444467,131.907324,Bb
131.907324,132.76646200000002,Bb
132.76646200000002,134.182879,Ab
134.182879,135.07684799999998,Eb
135.07684799999998,136.49326499999998,Bb
136.49326499999998,152.108623,Bb
152.108623,157.15265300000002,N
