begin,end,chord
0.0,0.44755100000000003,N
0.44755100000000003,5.91585,E
5.91585,7.285827,E
7.285827,8.690634,B:min
8.690634,10.037392,A/3
10.037392,11.407369000000001,A
11.407369000000001,12.800566,C#:min/5
12.800566,14.216984,C#:min
14.216984,16.991768,F#
16.991768,19.824603,A:maj/9
19.824603,22.599387,B
22.599387,25.350952,A:maj/9
25.350952,28.195396000000002,B
28.195396000000002,29.576984000000003,E
29.576984000000003,31.005011,B:min
31.005011,32.386598,F#:min
32.386598,33.826235,F#:min/5
33.826235,36.62938,C#:min/5
36.62938,39.561564000000004,F#
39.561564000000004,42.371179,A:maj/9
42.371179,45.111133,B
45.111133,47.920747999999996,A:maj/9
47.920747999999996,50.753582,B
50.753582,64.778435,E
64.778435,67.53,B:min/b3
67.53,70.397664,C#:min
70.397664,73.207278,F#:9
73.207278,76.167823,C#:min
76.167823,77.64229,F#:9
77.64229,79.209637,E
79.209637,80.649274,B:min/b3
80.649274,82.158571,F#:min
82.158571,83.598208,F#:min/b3
83.598208,86.523922,C#:min
86.523922,89.426417,F#
89.426417,92.294081,A:maj/9
92.294081,95.161746,B
95.161746,97.99458,A:maj/9
97.99458,100.931904,B
100.931904,102.359931,E
102.359931,103.776349,B:min/b3
103.776349,106.79494299999999,F#:min
106.79494299999999,109.674217,C#:min
109.674217,112.495442,F#:9
112.495442,115.293446,A:maj/9
115.293446,118.21916,B
118.21916,121.179705,A:maj/9
121.179705,124.175079,B
124.175079,138.095442,E
138.095442,140.916666,B:min/b3
140.916666,143.85398999999998,C#:min
143.85398999999998,146.66360500000002,F#:9
146.66360500000002,149.51965900000002,C#:min
149.51965900000002,150.982517,F#:maj(9)
150.982517,152.515034,E
152.515034,153.954671,B:min
153.954671,155.417528,F#:min
155.417528,156.810725,F#:min/5
156.810725,159.66678000000002,C#:min/5
159.66678000000002,162.534444,F#
162.534444,165.367278,A:maj/9
165.367278,168.188503,B
168.188503,171.114217,A:maj/9
171.114217,174.016712,B
174.016712,187.77453500000001,E
187.77453500000001,190.549319,B:min/b3
190.549319,193.429168,C#:min
193.429168,196.261428,F#:9
196.261428,199.105873,C#:min
199.105873,201.961927,F#:9
201.961927,204.910861,C#:min
204.910861,207.801746,F#
207.801746,210.982879,A
210.982879,213.84052200000002,E
213.84052200000002,215.066122,N
