begin,end,chord
0.0,1.263742,N
1.263742,3.122845,F
3.122845,4.074863,Eb
4.074863,5.073321,G/5
5.073321,8.846564,C
8.846564,12.503707,E:min/5
12.503707,16.184070000000002,C:7
16.184070000000002,18.877585,F
18.877585,19.759943,C/3
19.759943,23.440306,D
23.440306,24.470647,G
24.470647,25.321122,G:sus4(2)/2
25.321122,27.190328000000004,G/3
27.190328000000004,29.024704999999997,A:min
29.024704999999997,30.824251,Ab:aug
30.824251,32.600578000000006,C/5
32.600578000000006,34.411734,D:7
34.411734,36.234501,F
36.234501,37.186519,Eb
37.186519,38.126927,G/5
38.126927,41.88856,C
41.88856,45.545702,E:min/5
45.545702,49.168015000000004,C:7
49.168015000000004,51.87314,F
51.87314,52.790328,C/3
52.790328,56.412641,D
56.412641,57.306608999999995,G
57.306608999999995,58.258628,G:sus4(2)/2
58.258628,60.023343999999994,G/3
60.023343999999994,61.822891000000006,A:min
61.822891000000006,63.634046999999995,Ab:aug
63.634046999999995,65.398764,C/5
65.398764,67.23314,D:7
67.23314,69.102346,F
69.102346,70.08025699999999,Eb
70.08025699999999,71.01849,G/5
71.01849,74.62869599999999,A
74.62869599999999,76.370192,A
76.370192,78.045663,C#:min/5
78.045663,79.71386600000001,F#:min
79.71386600000001,81.443752,A/5
81.443752,83.10397900000001,D
83.10397900000001,84.787426,G
84.787426,85.474936,A
85.474936,86.183398,A/7
86.183398,86.815269,A/b7
86.815269,87.427993,A/6
87.427993,87.887535,A/b6
87.887535,88.28202900000001,A/5
88.28202900000001,89.930646,A
89.930646,91.614092,C#:min/5
91.614092,93.28592900000001,F#:min
93.28592900000001,94.980986,A/5
94.980986,96.641213,D
96.641213,98.347879,G
98.347879,99.03286800000001,C
99.03286800000001,99.671417,C/7
99.671417,100.286746,C/6
100.286746,100.960124,C/5
100.960124,101.37808299999999,C/3
101.37808299999999,101.830873,C/2
101.830873,105.48801499999999,C
105.48801499999999,108.994229,E:min/5
108.994229,112.628151,C:7
112.628151,115.24039599999999,F
115.24039599999999,116.087925,C/3
116.087925,119.71023799999999,D
119.71023799999999,120.627426,G
120.627426,121.451734,G:sus4(2)/2
121.451734,123.297721,G/3
123.297721,125.039217,A:min
125.039217,126.82715400000001,Ab:aug
126.82715400000001,128.60348,C/5
128.60348,130.298537,D:7
130.298537,132.156133,F
132.156133,133.038492,Eb
133.038492,133.89763,G/5
133.89763,137.577993,C
137.577993,141.235136,E:min/5
141.235136,144.811009,C:7
144.811009,147.516133,F
147.516133,148.398492,C/3
148.398492,152.009195,D
152.009195,152.914773,G
152.914773,153.831908,G:sus4(2)
153.831908,155.60828700000002,G/3
155.60828700000002,157.373004,A:min
157.373004,159.114501,Ab:aug
159.114501,160.948877,C/5
160.948877,162.748424,D:7
162.748424,164.5828,F
164.5828,165.476768,Eb
165.476768,166.34751699999998,G/5
166.34751699999998,169.88856,A
169.88856,171.711326,F
171.711326,172.651734,Eb
172.651734,173.754682,G/5
173.754682,178.838689,C
178.838689,183.013878,N
