begin,end,chord
0.0,0.191476,N
0.191476,1.364739,E
1.364739,7.785056,E:maj6
7.785056,14.275034,E:maj6
14.275034,20.289002,F#:min7
20.289002,20.730180999999998,B:maj6
20.730180999999998,27.162108,E:maj6
27.162108,32.734897,F#:min7
32.734897,33.524376000000004,B:maj6
33.524376000000004,39.875034,E:maj6
39.875034,45.284923,F#:min7
45.284923,45.826177,G:min7
45.826177,46.283741,G#:min7/b3
46.283741,52.669229,E:maj6
52.669229,58.892176,"G:9(*3,11)"
58.892176,62.09653,C
62.09653,65.242834,C:maj7
65.242834,68.412358,G
68.412358,71.605102,A
71.605102,74.763015,C
74.763015,77.96736899999999,C:maj7
77.96736899999999,81.171723,G
81.171723,84.30641700000001,A
84.30641700000001,87.49916,F
87.49916,90.68029399999999,D:7
90.68029399999999,93.90786800000001,F
93.90786800000001,97.123832,D:7
97.123832,100.363015,C
100.363015,103.544149,E:min7
103.544149,106.725283,C:7
106.725283,109.90641699999999,F
109.90641699999999,115.490816,F#:min7
115.490816,116.257074,B:maj6
116.257074,122.73544199999999,E:maj6
122.73544199999999,128.250181,F#:min7
128.250181,129.004829,B:maj6
129.004829,135.529637,E:maj6
135.529637,141.05598600000002,F#:min7
141.05598600000002,141.81063400000002,B:maj6
141.81063400000002,146.311837,E:maj6
