begin,end,chord
0.0,0.497838,N
0.497838,4.151133,G
4.151133,4.987051999999999,G
4.987051999999999,5.8926300000000005,C
5.8926300000000005,6.7749880000000005,D
6.7749880000000005,7.668956,G
7.668956,8.504875,G
8.504875,9.364013,C
9.364013,11.14034,G
11.14034,12.022698,G
12.022698,12.870225999999999,C
12.870225999999999,13.717754999999999,D
13.717754999999999,14.623332999999999,G
14.623332999999999,15.494081,C
15.494081,16.341609,D
16.341609,18.129545999999998,G
18.129545999999998,19.859433,C
19.859433,21.600929,G
21.600929,23.354035999999997,C
23.354035999999997,25.141972,G
25.141972,26.848639000000002,C
26.848639000000002,28.590135999999998,G
28.590135999999998,29.484104,C
29.484104,30.354852,D
30.354852,32.119569,G
32.119569,33.013537,G
33.013537,33.861065,C
33.861065,34.731814,D
34.731814,35.637392,G
35.637392,36.48492,G
36.48492,37.332448,C
37.332448,39.073945,G
39.073945,39.944693,G
39.944693,40.803832,C
40.803832,41.70941,D
41.70941,42.603378,G
42.603378,43.416077,C
43.416077,44.286825,D
44.286825,46.063151,G
46.063151,47.804648,C
47.804648,49.546145,G
49.546145,51.264421,C
51.264421,53.017528000000006,G
53.017528000000006,54.770633999999994,C
54.770633999999994,56.500521,G
56.500521,57.348048999999996,C
57.348048999999996,58.265238000000004,D
58.265238000000004,60.006733999999994,G
60.006733999999994,63.524556999999994,G:7
63.524556999999994,67.10043,C
67.10043,68.83031700000001,G
68.83031700000001,70.53698399999999,D
70.53698399999999,74.101247,G
74.101247,75.018435,G
75.018435,75.854353,C
75.854353,76.75993100000001,D
76.75993100000001,77.70034,G
77.70034,78.559478,G
78.559478,79.430226,C
79.430226,81.229773,G
81.229773,82.146961,G
82.146961,82.994489,C
82.994489,83.853628,D
83.853628,84.747596,G
84.747596,85.65317399999999,C
85.65317399999999,86.500702,D
86.500702,88.277029,G
88.277029,90.064965,C
90.064965,91.864512,G
91.864512,93.582789,C
93.582789,95.370725,G
95.370725,97.123832,C
97.123832,98.888548,G
98.888548,99.794126,C
99.794126,100.68809499999999,D
100.68809499999999,102.464421,G
102.464421,106.04029399999999,G:7
106.04029399999999,109.569727,C
109.569727,111.32283400000001,G
111.32283400000001,113.087551,D
113.087551,116.593764,G
116.593764,117.46451200000001,G
117.46451200000001,118.34687,C
118.34687,119.217619,D
119.217619,120.146417,G
120.146417,121.028775,G
121.028775,121.922743,C
121.922743,123.68746000000002,G
123.68746000000002,124.569818,G
124.569818,125.46378600000001,C
125.46378600000001,126.36936499999999,D
126.36936499999999,127.228503,G
127.228503,128.122471,C
128.122471,129.016439,D
129.016439,130.781156,G
130.781156,132.557482,C
132.557482,134.310589,G
134.310589,136.040476,C
136.040476,137.840022,G
137.840022,139.569909,C
139.569909,141.357845,G
141.357845,142.216984,C
142.216984,143.110952,D
143.110952,144.887278,G
144.887278,148.451541,G:7
148.451541,152.282834,C
152.282834,155.306274,G
155.306274,159.712653,N
