begin,end,chord
0.0,0.86551,N
0.86551,1.5272780000000001,E:min
1.5272780000000001,2.398027,A
2.398027,3.0249650000000003,E:min
3.0249650000000003,3.8841040000000002,A
3.8841040000000002,4.557482,E:min
4.557482,5.416621,A
5.416621,6.0667800000000005,E:min
6.0667800000000005,6.9491380000000005,A
6.9491380000000005,8.435215,D
8.435215,9.967732,B:min
9.967732,11.546689,E:min
11.546689,13.067596,A
13.067596,13.822244,D
13.822244,14.600113,B:min
14.600113,15.180612,E:min
15.180612,16.12102,A
16.12102,17.653537,D
17.653537,19.209274,B:min
19.209274,20.741791,E:min
20.741791,22.309138,A
22.309138,23.052176,D
23.052176,23.818435,B:min
23.818435,24.410544,E:min
24.410544,25.362562,A
25.362562,26.883469,D
26.883469,28.404376,B:min
28.404376,29.878843,E:min
29.878843,31.469409999999996,A
31.469409999999996,33.013537,D
33.013537,34.534444,B:min
34.534444,36.078571000000004,E:min
36.078571000000004,37.622698,A
37.622698,39.108775,D
39.108775,40.676122,B:min
40.676122,42.220249,E:min
42.220249,43.787596,A
43.787596,44.565464,D
44.565464,45.343333,B:min
45.343333,45.912222,E:min
45.912222,46.85263,A
46.85263,48.385146999999996,D
48.385146999999996,49.987324,B:min
49.987324,51.496621000000005,E:min
51.496621000000005,53.063968,A
53.063968,53.80700600000001,D
53.80700600000001,54.66614499999999,B:min
54.66614499999999,55.269863,E:min
55.269863,56.187052,A
56.187052,57.800839,D
57.800839,59.344965,B:min
59.344965,60.865873,E:min
60.865873,62.444829000000006,A
62.444829000000006,63.977346,D
63.977346,65.521473,B:min
65.521473,67.07721,E:min
67.07721,68.667777,A
68.667777,70.200294,D
70.200294,71.75603100000001,B:min
71.75603100000001,73.28854799999999,E:min
73.28854799999999,74.86750500000001,A
74.86750500000001,75.668594,D
75.668594,76.446462,B:min
76.446462,77.03857099999999,E:min
77.03857099999999,77.96736899999999,A
77.96736899999999,79.534716,D
79.534716,81.125283,B:min
81.125283,82.69263000000001,E:min
82.69263000000001,84.22514699999999,A
84.22514699999999,85.815714,D
85.815714,87.336621,D:7
87.336621,90.459705,G
90.459705,93.606009,A
93.606009,96.705873,B:min
96.705873,98.296439,E:min
98.296439,99.828956,A
99.828956,100.630045,D
100.630045,101.419523,B:min
101.419523,101.679223,E:min
101.679223,102.94043,N
102.94043,104.47294699999999,D
104.47294699999999,106.075124,B:min
106.075124,107.642471,E:min
107.642471,109.256258,A
109.256258,110.043072,D
110.043072,110.788775,B:min
110.788775,111.404104,E:min
111.404104,112.34451200000001,A
112.34451200000001,113.88863899999998,D
113.88863899999998,115.479206,B:min
115.479206,117.046553,E:min
117.046553,118.67195,A
118.67195,120.239297,B:min
120.239297,120.88611200000001,Bb
120.88611200000001,121.77181399999999,Bb:7
121.77181399999999,122.35231200000001,A:sus4
122.35231200000001,123.211451,A:9(11)
123.211451,125.787761,D
125.787761,130.089796,N
