begin,end,chord
0.0,0.11488599999999999,N
0.11488599999999999,8.482391999999999,E:min(2)
8.482391999999999,9.541814,C
9.541814,10.598321,G
10.598321,11.666439,C
11.666439,12.711337,F:min
12.711337,13.767845000000001,C
13.767845000000001,14.743082999999999,F:min
14.743082999999999,15.799591,G
15.799591,16.844489000000003,A
16.844489000000003,17.877777,E
17.877777,18.911065,A
18.911065,19.990793,D:min
19.990793,21.000860999999997,A
21.000860999999997,22.022539000000002,D:min
22.022539000000002,24.170385,E
24.170385,25.807392,A:min
25.807392,27.456009,C
27.456009,29.889421000000002,F
29.889421000000002,30.753241999999997,G
30.753241999999997,32.320589,A:min
32.320589,33.969206,C
33.969206,36.384081,F
36.384081,37.19678,G
37.19678,38.810565999999994,E
38.810565999999994,40.377913,G
40.377913,42.07297,A:min
42.07297,44.977739,F:min
44.977739,45.992562,N
45.992562,47.08848,C
47.08848,48.144988,G
48.144988,49.201496,C
49.201496,50.246394,F:min
50.246394,51.314512,C
51.314512,52.33619,F:min
52.33619,53.381088,G
53.381088,54.391156,A
54.391156,55.470884,E
55.470884,56.469342000000005,A
56.469342000000005,57.560680000000005,D:min
57.560680000000005,58.59169,A
58.59169,59.627256,D:min
59.627256,61.740272,E
61.740272,63.435328000000005,A:min
63.435328000000005,65.10716500000001,C
65.10716500000001,67.55686999999999,F
67.55686999999999,68.31151899999999,G
68.31151899999999,69.983356,A:min
69.983356,71.562312,C
71.562312,74.046848,F
74.046848,74.847936,G
74.847936,76.554603,E
76.554603,78.09873,G
78.09873,79.75895600000001,A:min
79.75895600000001,82.947452,F:min
82.947452,83.99659799999999,N
83.99659799999999,85.018276,C
85.018276,86.074784,G
86.074784,87.119682,C
87.119682,88.17619,F:min
88.17619,89.232698,C
89.232698,90.265986,F:min
90.265986,91.32249399999999,G
91.32249399999999,92.36739200000001,A
92.36739200000001,93.4239,E
93.4239,94.457188,A
94.457188,95.490476,D:min
95.490476,96.546984,A
96.546984,97.603492,D:min
97.603492,98.137551,E
98.137551,98.671609,E/b7
98.671609,99.194058,E/b6
99.194058,99.693287,E/5
99.693287,101.353514,A:min
101.353514,103.01374100000001,C
103.01374100000001,105.465042,F
105.465042,106.310975,G
106.310975,108.00603100000001,A:min
108.00603100000001,109.64303799999999,C
109.64303799999999,112.092743,F
112.092743,112.847392,G
112.847392,114.55405800000001,E
114.55405800000001,116.202675,G
116.202675,117.81646200000002,A:min
117.81646200000002,121.08949299999999,F:min
121.08949299999999,121.60647900000001,N
121.60647900000001,122.634603,C
122.634603,123.691111,G
123.691111,124.747619,C
124.747619,125.757687,F:min
125.757687,126.860634,C
126.860634,127.90553200000001,F:min
127.90553200000001,128.93882,G
128.93882,129.98371799999998,A
129.98371799999998,131.028616,E
131.028616,132.096734,A
132.096734,133.118412,D:min
133.118412,134.18653,A
134.18653,135.173378,D:min
135.173378,136.24149599999998,E
136.24149599999998,137.263174,C
137.263174,138.308072,G
138.308072,139.37618999999998,C
139.37618999999998,140.386258,F:min
140.386258,141.46598600000002,C
141.46598600000002,142.487664,F:min
142.487664,143.555782,G
143.555782,144.58907,A
144.58907,145.63396799999998,E
145.63396799999998,146.667256,A
146.667256,147.723764,D:min
147.723764,148.722222,A
148.722222,149.79034,D:min
149.79034,150.83523799999998,E
150.83523799999998,151.868526,C
151.868526,152.925034,G
152.925034,154.004761,C
154.004761,155.02643899999998,F:min
155.02643899999998,156.071337,C
156.071337,157.104625,F:min
157.104625,158.19596299999998,G
158.19596299999998,159.217641,A
159.217641,160.297369,E
160.297369,161.353877,A
161.353877,162.41038500000002,D:min
162.41038500000002,163.466893,A
163.466893,164.47696100000002,D:min
164.47696100000002,165.492804,E
165.492804,166.566757,C
166.566757,167.588435,G
167.588435,168.64494299999998,C
168.64494299999998,169.678231,F:min
169.678231,170.723129,C
170.723129,171.677482,F:min
171.677482,172.73165500000002,G
172.73165500000002,173.764943,A
173.764943,174.809841,E
174.809841,175.889569,A
175.889569,176.899637,D:min
176.899637,177.932925,A
177.932925,178.977823,D:min
178.977823,180.12721000000002,E
180.12721000000002,181.20693799999998,C
181.20693799999998,182.36793600000001,G
182.36793600000001,183.436054,C
183.436054,184.15587299999999,F:min
184.15587299999999,185.107891,C
185.107891,186.048299,F:min
186.048299,187.957213,G
187.957213,188.933742,A
188.933742,189.78671200000002,E
189.78671200000002,190.76195,A
190.76195,191.597868,D:min
191.597868,192.61954599999999,A
192.61954599999999,193.803764,D:min
193.803764,194.089796,N
