begin,end,chord
0.0,0.22388400000000003,A
0.22388400000000003,1.635324,D
1.635324,2.131761,B
2.131761,3.8841040000000002,E
3.8841040000000002,5.81136,A
5.81136,7.715396000000001,D#:dim/b5
7.715396000000001,11.244829,A
11.244829,11.744058,A
11.744058,13.183696,D
13.183696,13.706145000000001,B
13.706145000000001,15.377981,E
15.377981,17.305238,A
17.305238,19.186054000000002,D#:dim/b5
19.186054000000002,19.568859,A
19.568859,34.752914000000004,N
34.752914000000004,36.72873,A:7
36.72873,38.690816,D:7
38.690816,40.652902000000005,A:7
40.652902000000005,42.626598,D:7
42.626598,44.588684,A:7
44.588684,46.56238,D:7
46.56238,48.478027000000004,A:7
48.478027000000004,50.382063,D:7
50.382063,52.297709000000005,A:7
52.297709000000005,54.259795,D:7
54.259795,56.221881999999994,A:7
56.221881999999994,58.195578000000005,D:7
58.195578000000005,60.111224,A:7
60.111224,62.07331,D:7
62.07331,63.98895600000001,A:7
63.98895600000001,65.916213,D:7
65.916213,67.843469,A:7
67.843469,69.724285,D:7
69.724285,71.686371,A:7
71.686371,73.532358,D:7
73.532358,75.506054,A:7
75.506054,77.37526,D:7
77.37526,79.29090699999999,A:7
79.29090699999999,81.26460300000001,D:7
81.26460300000001,83.215518,A:7
83.215518,85.142335,D:7
85.142335,87.08120100000001,A:7
87.08120100000001,88.996848,D:7
88.996848,92.921425,A
92.921425,96.856802,A
96.856802,100.792585,G/2
100.792585,101.54723299999999,F/3
101.54723299999999,102.255442,C:maj6/5
102.255442,103.0217,D:min7/b3
103.0217,103.822789,A:min/5
103.822789,105.44818500000001,D:min
105.44818500000001,107.212902,G
107.212902,110.74233500000001,C
110.74233500000001,114.109229,D/b7
114.109229,115.86233500000002,Eb/6
115.86233500000002,117.61544199999999,F/5
117.61544199999999,123.40635400000001,C
123.40635400000001,139.833469,N
