begin,end,chord
0.0,0.700166,N
0.700166,3.496145,D
3.496145,6.340589,F
6.340589,9.138594,G
9.138594,11.852371,A:7
11.852371,13.294965,D
13.294965,14.711382999999998,C
14.711382999999998,16.151020000000003,G
16.151020000000003,17.590657,A
17.590657,18.983854,D
18.983854,20.423492,C
20.423492,21.828298999999998,G
21.828298999999998,23.256326,A
23.256326,24.637913,B:min
24.637913,26.065941,G:min
26.065941,27.470747999999997,B:min
27.470747999999997,28.921995000000003,G:min
28.921995000000003,30.291971999999998,D
30.291971999999998,31.743219,G
31.743219,33.101587,D
33.101587,33.670476,F
33.670476,34.169705,F
34.169705,34.552834000000004,G
34.552834000000004,36.004081,D
36.004081,37.385668,C
37.385668,38.767256,G
38.767256,40.160453000000004,A
40.160453000000004,41.58848,D
41.58848,43.028117,C
43.028117,44.409704999999995,G
44.409704999999995,45.849342,A
45.849342,47.288979,B:min
47.288979,48.728615999999995,G:min
48.728615999999995,50.098594,B:min
50.098594,51.584671,G:min
51.584671,53.001088,D
53.001088,54.34784499999999,G
54.34784499999999,55.799092,D
55.799092,57.2039,D
57.2039,58.62031700000001,A:min
58.62031700000001,60.013514,D
60.013514,62.799909,G
62.799909,64.193106,B:min
64.193106,65.586303,E
65.586303,68.31867700000001,A
68.31867700000001,69.789115,D
69.789115,71.159092,C
71.159092,72.57551,G
72.57551,73.968707,A
73.968707,75.385124,D
75.385124,76.77832099999999,C
76.77832099999999,78.17151899999999,G
78.17151899999999,79.634376,A
79.634376,81.074013,B:min
81.074013,82.50204000000001,G:min
82.50204000000001,83.941678,B:min
83.941678,85.416145,G:min
85.416145,86.774512,D
86.774512,88.214149,G
88.214149,89.665396,D
89.665396,90.222675,F
90.222675,90.652244,F
90.652244,91.023764,G
91.023764,92.393741,D
92.393741,93.833378,C
93.833378,95.226575,G
95.226575,96.608163,A
96.608163,98.08263000000001,D
98.08263000000001,99.487437,C
99.487437,100.915464,G
100.915464,102.355102,A
102.355102,103.864399,B:min
103.864399,105.211156,G:min
105.211156,106.615963,B:min
106.615963,108.04399,G:min
108.04399,109.448798,D
109.448798,110.818775,G
110.818775,112.246802,D
112.246802,113.64,D
113.64,115.056417,A:min
115.056417,116.461224,D
116.461224,117.854421,G
117.854421,119.21278899999999,G
119.21278899999999,120.60598600000002,B:min
120.60598600000002,122.022403,E
122.022403,123.42721,A
123.42721,124.785578,A
124.785578,126.143945,D
126.143945,127.56036200000001,C
127.56036200000001,128.98838999999998,G
128.98838999999998,130.42802700000001,A
130.42802700000001,131.856054,D
131.856054,133.28408100000001,C
133.28408100000001,134.66566799999998,G
134.66566799999998,136.058866,A
136.058866,137.463673,B:min
137.463673,138.91492,G:min
138.91492,140.319727,B:min
140.319727,141.805804,G:min
141.805804,143.222222,D
143.222222,144.627029,G
144.627029,146.089886,D
146.089886,147.552743,F
147.552743,148.93433100000001,D
148.93433100000001,152.521576,D
152.521576,156.708571,N
