begin,end,chord
0.0,0.4021,N
0.4021,1.302038,G
1.302038,5.346961,D:7(#9)
5.346961,13.323015,D:7(#9)
13.323015,17.293628,G:7
17.293628,21.26424,D:7(#9)
21.26424,21.972448,A:sus4
21.972448,23.191496,A
23.191496,23.818435,G:sus4
23.818435,24.991042999999998,G
24.991042999999998,28.764284999999997,D:7(#9)
28.764284999999997,30.703151000000002,D
30.703151000000002,32.676848,C
32.676848,34.650544000000004,F
34.650544000000004,36.647459999999995,G
36.647459999999995,44.623514,D:7(#9)
44.623514,48.582516999999996,G:7
48.582516999999996,52.553129000000006,D:7(#9)
52.553129000000006,53.307777,A:sus4
53.307777,54.410725,A
54.410725,55.153764,G:sus4
55.153764,56.26832099999999,G
56.26832099999999,60.088004000000005,D:7(#9)
60.088004000000005,62.03848000000001,D
62.03848000000001,63.977346,C
63.977346,65.916213,F
65.916213,67.93634899999999,G
67.93634899999999,75.90079300000001,D:7(#9)
75.90079300000001,79.836575,G:7
79.836575,83.83040799999999,D:7(#9)
83.83040799999999,84.58505600000001,A:sus4
84.58505600000001,85.666413,A
85.666413,86.431043,G:sus4
86.431043,87.65009,G
87.65009,91.37689300000001,D:7(#9)
91.37689300000001,93.269319,D
93.269319,95.254625,C
95.254625,97.239931,F
97.239931,99.213628,G
99.213628,107.212902,D:7(#9)
107.212902,111.18351399999999,G:7
111.18351399999999,115.13090700000001,D:7(#9)
115.13090700000001,115.87394499999999,A:sus4
115.87394499999999,117.069773,A
117.069773,117.859251,G:sus4
117.859251,119.03185900000001,G
119.03185900000001,122.95603100000001,D:7(#9)
122.95603100000001,124.836848,D
124.836848,126.810544,C:maj(9)
126.810544,128.78423999999998,F:maj6
128.78423999999998,130.734716,G
130.734716,134.728548,D
134.728548,138.78043,D:7(#9)
138.78043,142.727823,G:7
142.727823,146.686825,D:7(#9)
146.686825,147.499523,A:sus4
147.499523,148.56764099999998,A
148.56764099999998,149.36873,G:sus4
149.36873,150.506507,G
150.506507,154.3378,D:7(#9)
154.3378,156.241836,D
156.241836,158.19231200000002,C:maj(9)
158.19231200000002,160.189229,F:maj6
160.189229,162.023605,G
162.023605,163.709388,N
