begin,end,chord
0.0,0.4021,N
0.4021,4.046643,A:min
4.046643,5.1315599999999995,A:min
5.1315599999999995,6.242121,E:min
6.242121,6.912288,A:min
6.912288,7.984553999999999,E:min
7.984553999999999,8.635572999999999,A:min
8.635572999999999,9.650396,E:min
9.650396,10.301414999999999,A:min
10.301414999999999,11.411976,E:min
11.411976,12.101289999999999,A:min
12.101289999999999,13.135260999999998,E:min
13.135260999999998,13.78628,A:min
13.78628,14.839398999999998,E:min
14.839398999999998,15.509565,A:min
15.509565,16.524389000000003,E:min
16.524389000000003,17.758027,A:min
17.758027,19.499523,C
19.499523,21.2178,C:9
21.2178,22.936076999999997,F
22.936076999999997,24.677573000000002,Bb
24.677573000000002,25.804192,A:min
25.804192,26.83912,E:min
26.83912,29.322946,A:min
29.322946,29.926654,E:min
29.926654,31.608729999999998,A:min
31.608729999999998,33.385056,A:min
33.385056,34.54933,A:min
34.54933,35.54976,E:min
35.54976,38.033586,A:min
38.033586,39.085762,E:min
39.085762,41.414349,A:min
41.414349,42.518271999999996,E:min
42.518271999999996,44.933102000000005,A:min
44.933102000000005,45.605805,E:min
45.605805,47.293809,A:min
47.293809,49.012086,C
49.012086,50.718752,C:9
50.718752,52.495079000000004,F
52.495079000000004,54.190135999999995,Bb
54.190135999999995,55.334123999999996,A:min
55.334123999999996,56.041323999999996,E:min
56.041323999999996,58.835629000000004,A:min
58.835629000000004,59.508331000000005,E:min
59.508331000000005,61.23739200000001,A
61.23739200000001,62.920839,A
62.920839,64.68555500000001,D
64.68555500000001,66.427052,B
66.427052,68.133718,E:7
68.133718,69.851995,A
69.851995,71.593492,D
71.593492,73.311768,B
73.311768,75.041655,Bb
75.041655,76.256908,A:min
76.256908,76.877865,E:min
76.877865,79.758413,A:min
79.758413,80.362121,E:min
80.362121,83.22542,A:min
83.22542,83.898123,E:min
83.898123,86.709676,A:min
86.709676,87.399628,E:min
87.399628,89.136167,A:min
89.136167,90.866054,C
90.866054,92.64238,C:9
92.64238,94.36065699999999,F
94.36065699999999,96.136984,Bb
96.136984,97.21419,A:min
97.21419,97.90414200000001,E:min
97.90414200000001,100.73294399999999,A:min
100.73294399999999,101.422895,E:min
101.422895,103.14941,A
103.14941,104.821247,A
104.821247,106.597573,D
106.597573,108.30424,B
108.30424,110.092176,E:7
110.092176,111.752403,A
111.752403,113.48228999999999,D
113.48228999999999,115.235396,B
115.235396,116.930453,Bb
116.930453,118.136975,A:min
118.136975,118.757931,E:min
118.757931,121.55223500000001,A:min
121.55223500000001,122.27668500000001,E:min
122.27668500000001,125.08823799999999,A:min
125.08823799999999,125.72644299999999,E:min
125.72644299999999,128.606991,A:min
128.606991,129.210699,E:min
129.210699,131.02496499999998,A:min
131.02496499999998,132.720022,C
132.720022,134.519569,C:9
134.519569,136.261065,F
136.261065,137.990952,Bb
137.990952,139.111505,A:min
139.111505,139.766959,E:min
139.766959,142.64750800000002,A:min
142.64750800000002,143.337459,E:min
143.337459,153.219185,A:min
153.219185,158.850612,N
