begin,end,chord
0.0,0.42124700000000004,N
0.42124700000000004,3.512585,G
3.512585,3.7912239999999997,G
3.7912239999999997,4.093083,G#
4.093083,5.91585,A:min
5.91585,7.773446000000001,D:min
7.773446000000001,9.619433,Bb
9.619433,11.453809,C
11.453809,15.122562,G
15.122562,16.956938,A:min
16.956938,18.826145,D:min
18.826145,20.683741,Bb
20.683741,22.529726999999998,C
22.529726999999998,24.364104,G
24.364104,26.24492,A:min
26.24492,29.902063000000002,C
29.902063000000002,33.524376000000004,G
33.524376000000004,35.300702,Eb/5
35.300702,37.123469,D
37.123469,40.827052,G
40.827052,42.684647999999996,A:min
42.684647999999996,44.507414000000004,D:min
44.507414000000004,46.376621,Bb
46.376621,48.199387,C
48.199387,51.9378,G
51.9378,53.818616000000006,A:min
53.818616000000006,55.711043000000004,D:min
55.711043000000004,57.580249,Bb
57.580249,59.44945500000001,C
59.44945500000001,61.330271999999994,G
61.330271999999994,63.222698,A:min
63.222698,66.891451,C
66.891451,70.548594,G
70.548594,72.33653000000001,Eb/5
72.33653000000001,74.170907,D
74.170907,77.886099,G
77.886099,79.708866,A:min
79.708866,81.589682,D:min
81.589682,83.400839,Bb
83.400839,85.293265,C
85.293265,89.031678,G
89.031678,90.877664,A:min
90.877664,92.77009,D:min
92.77009,94.616077,Bb
94.616077,96.520113,C
96.520113,98.412539,G
98.412539,100.316575,A:min
100.316575,104.054988,C
104.054988,107.654081,G
107.654081,109.45362800000001,Eb/5
109.45362800000001,111.276394,D
111.276394,114.94514699999999,G
114.94514699999999,118.60229,C
118.60229,122.224603,G
122.224603,124.05897900000001,Eb/5
124.05897900000001,125.916575,D
125.916575,127.75286200000001,C:7
127.75286200000001,129.550498,G
129.550498,131.373265,Eb/5
131.373265,133.196031,D
133.196031,135.018798,C:7
135.018798,136.400385,G
136.400385,139.337143,N
