begin,end,chord
0.0,0.42124700000000004,N
0.42124700000000004,4.046643,A
4.046643,7.947596000000001,A
7.947596000000001,19.569183,A
19.569183,21.484829,B:min
21.484829,23.400476,E
23.400476,25.339342000000002,F#:min
25.339342000000002,27.185328000000002,D
27.185328000000002,28.915215000000003,F#:min
28.915215000000003,30.981790999999998,G:maj7
30.981790999999998,32.874217,F#:min
32.874217,34.813083,E
34.813083,38.725646000000005,A
38.725646000000005,50.277573,A
50.277573,52.251269,B:min
52.251269,54.178526,E
54.178526,56.105782,F#:min
56.105782,57.963378000000006,D
57.963378000000006,59.728094999999996,F#:min
59.728094999999996,61.852720999999995,G:maj7
61.852720999999995,63.779977,F#:min
63.779977,65.730453,E
65.730453,69.619795,A
69.619795,75.482834,D:7
75.482834,77.41009,E
77.41009,83.215079,D:7
83.215079,87.05798100000001,E
87.05798100000001,98.90015799999999,A
98.90015799999999,100.885464,B:min
100.885464,102.89399,E
102.89399,104.90251699999999,F#:min
104.90251699999999,106.81816299999998,D
106.81816299999998,108.582879,F#:min
108.582879,110.730725,G:maj7
110.730725,112.72764099999999,F#:min
112.72764099999999,114.66650700000001,E
114.66650700000001,118.62551,A
118.62551,124.453718,D:7
124.453718,126.45063400000001,E
126.45063400000001,132.185963,D:7
132.185963,136.086916,E
136.086916,147.952312,A
147.952312,149.914399,B:min
149.914399,151.911315,E
151.911315,153.86179099999998,F#:min
153.86179099999998,155.823877,D
155.823877,157.542154,F#:min
157.542154,159.748049,G:maj7
159.748049,161.675306,F#:min
161.675306,163.66061200000001,E
163.66061200000001,167.573174,A
167.573174,187.704033,A
187.704033,192.496327,N
