begin,end,chord
0.0,0.477813,N
0.477813,1.471665,F
1.471665,2.493343,F#:dim
2.493343,3.445361,G:min
3.445361,4.432208999999999,C:9
4.432208999999999,5.430667,F
5.430667,6.417515,F#:dim
6.417515,7.381142999999999,G:min
7.381142999999999,8.367991,C:9
8.367991,10.318467,F
10.318467,12.280553999999999,F#:dim
12.280553999999999,14.24264,G:min
14.24264,16.204726,Bb:min
16.204726,17.156744,F
17.156744,17.644363000000002,A:min
17.644363000000002,18.120372,G#:min
18.120372,19.11883,G:min
19.11883,20.117288000000002,C:9
20.117288000000002,22.044544000000002,F
22.044544000000002,23.019783,G:min7
23.019783,23.995020999999998,C:9
23.995020999999998,25.945497,F
25.945497,27.872753000000003,F#:dim
27.872753000000003,29.846449,G:min
29.846449,31.773705,Bb:min
31.773705,32.760554,F
32.760554,33.248173,A:min
33.248173,33.724182,G#:min
33.724182,34.73425,G:min
34.73425,35.697878,C:9
35.697878,37.648354,F
37.648354,39.610440000000004,F:9
39.610440000000004,41.537696000000004,Bb
41.537696000000004,43.476563,Bb:min
43.476563,45.427039,F
45.427039,47.365905,D:9
47.365905,48.364363,G:min
48.364363,49.316381,G:minmaj7
49.316381,51.255247,G:7
51.255247,53.286993,C:9
53.286993,55.1562,C:7
55.1562,57.153116000000004,F
57.153116000000004,59.150031999999996,F#:dim
59.150031999999996,61.065678000000005,G:min
61.065678000000005,63.085814,Bb:min
63.085814,64.026222,F
64.026222,64.537061,A:min
64.537061,65.05951,G#:min
65.05951,66.01152900000001,G:min
66.01152900000001,66.998377,C:9
66.998377,68.93724300000001,F
68.93724300000001,69.889261,G:min7
69.889261,70.864499,C:9
70.864499,72.78014499999999,F
72.78014499999999,74.75384100000001,F#:dim
74.75384100000001,76.727538,G:min
76.727538,78.701234,Bb:min
78.701234,79.688082,F
79.688082,80.175701,A:min
80.175701,80.67493,G#:min
80.67493,81.63855799999999,G:min
81.63855799999999,82.660236,F#:7(#9)
82.660236,84.622322,F
84.622322,86.607628,F:9
86.607628,88.51166500000001,Bb
88.51166500000001,90.485361,Bb:min
90.485361,92.424227,F
92.424227,94.386313,D:9
94.386313,95.419601,G:min
95.419601,96.36000899999999,G:minmaj7
96.36000899999999,98.345315,G:7
98.345315,100.319012,C:9
100.319012,102.234658,C:7
102.234658,104.25479399999999,F
104.25479399999999,106.22849,F#:dim
106.22849,108.20218600000001,G:min
108.20218600000001,110.175882,Bb:min
110.175882,111.16273000000001,F
111.16273000000001,111.685179,A:min
111.685179,112.172798,G#:min
112.172798,113.101597,G:min
113.101597,114.100055,C:9
114.100055,116.015701,F
116.015701,117.942957,F
117.942957,118.906585,C:7
118.906585,119.893433,B:7
119.893433,121.855519,C:7/5
121.855519,123.79438600000002,F
123.79438600000002,125.72164199999999,C#
125.72164199999999,127.706948,F
127.706948,128.717016,F:maj7
128.717016,131.972923,F:maj7
131.972923,136.75101999999998,N
