begin,end,chord
0.0,0.7276090000000001,N
0.7276090000000001,19.093173999999998,C
19.093173999999998,22.889637,Bb:maj(9)/9
22.889637,26.662878999999997,C
26.662878999999997,34.186145,C
34.186145,37.959387,Bb:maj(9)/9
37.959387,41.70941,C
41.70941,49.279115000000004,C
49.279115000000004,53.029138,Bb:maj(9)/9
53.029138,56.790769999999995,C
56.790769999999995,63.742398,C
63.742398,64.412564,B:maj/9
64.412564,65.235911,C
65.235911,66.001816,Bb:maj/9
66.001816,66.748573,C
66.748573,67.629363,Bb:maj/9
67.629363,80.994395,C
80.994395,83.11978,Bb:maj/9
83.11978,87.65009,C
87.65009,94.685736,C
94.685736,98.493809,Bb:maj(9)/9
98.493809,108.222298,C
108.222298,109.12223600000002,Bb:maj/9
109.12223600000002,109.98768700000001,C
109.98768700000001,113.842199,Bb:maj(9)/9
113.842199,117.661882,C
117.661882,125.31285700000001,C
125.31285700000001,129.097709,Bb:maj(9)/9
129.097709,132.99866200000002,C
132.99866200000002,140.672857,C
140.672857,144.538979,Bb:maj(9)/9
144.538979,148.323832,C
148.323832,152.16673400000002,Bb:maj(9)/9
152.16673400000002,155.974807,C
155.974807,159.771269,Bb:maj(9)/9
159.771269,163.614172,C
163.614172,167.433854,Bb:maj(9)/9
167.433854,171.381247,C
171.381247,175.066609,Bb:maj(9)/9
175.066609,176.292056,C
176.292056,177.26693899999998,N
