begin,end,chord
0.0,10.454596,N
10.454596,14.628775,G:maj(*1)/5
14.628775,18.826145,G
18.826145,24.259614000000003,G
24.259614000000003,25.350952,C
25.350952,26.43068,G/3
26.43068,27.476822,A:min7
27.476822,28.590135999999998,C/5
28.590135999999998,33.965555,G
33.965555,35.056893,C
35.056893,36.159841,G/3
36.159841,37.239569,A:min7
37.239569,38.261247,C/5
38.261247,39.886643,G
39.886643,40.954761,D
40.954761,41.53526,C
41.53526,43.090996999999994,G
43.090996999999994,44.159115,D
44.159115,44.728004,C
44.728004,46.318571,G
46.318571,47.409909000000006,C
47.409909000000006,49.688051,G
49.688051,53.981156000000006,G:maj(*1)/5
53.981156000000006,58.334897,G
58.334897,63.733537,G
63.733537,64.848095,C
64.848095,65.927823,G/3
65.927823,67.03076999999999,A:min7
67.03076999999999,68.07566800000001,C/5
68.07566800000001,73.567188,G
73.567188,74.670136,C
74.670136,75.738253,G/3
75.738253,76.864421,A:min7
76.864421,77.920929,C/5
77.920929,79.523106,G
79.523106,80.649274,D
80.649274,81.206553,C
81.206553,82.85517,G
82.85517,83.91167800000001,D
83.91167800000001,84.503786,C
84.503786,86.07113299999999,G
86.07113299999999,87.174081,C
87.174081,89.898035,G
89.898035,91.492993,N
91.492993,93.687278,Bb
93.687278,95.90478399999999,D:min
95.90478399999999,98.07585,G:min
98.07585,102.452811,A:min
102.452811,104.577437,D
104.577437,110.185056,G
110.185056,111.264784,C
111.264784,112.34451200000001,G/3
112.34451200000001,113.41263000000001,A:min7
113.41263000000001,114.503968,C/5
114.503968,119.949047,G
119.949047,121.086825,C
121.086825,122.14333300000001,G/3
122.14333300000001,123.28111100000001,A:min7
123.28111100000001,124.37244799999999,C/5
124.37244799999999,126.009455,G
126.009455,127.135623,D
127.135623,127.66968200000001,C
127.66968200000001,129.32990900000001,G
129.32990900000001,130.456077,D
130.456077,131.01335600000002,C
131.01335600000002,132.650362,G
132.650362,133.77653,C
133.77653,136.522468,G
136.522468,138.176712,N
138.176712,140.405827,Bb
140.405827,142.658163,D:min
142.658163,144.864058,G:min
144.864058,149.28746,A:min
149.28746,151.423696,D
151.423696,156.938435,G
156.938435,158.064603,C
158.064603,159.121111,G/3
159.121111,160.24635800000001,A:min7
160.24635800000001,161.361836,C/5
161.361836,166.946235,G
166.946235,168.072403,C
168.072403,169.12891100000002,G/3
169.12891100000002,170.30151899999998,A:min7
170.30151899999998,171.42768700000002,C/5
171.42768700000002,173.076303,G
173.076303,174.179251,D
174.179251,174.75975,C
174.75975,176.408367,G
176.408367,177.546145,D
177.546145,178.115034,C
178.115034,179.77526,G
179.77526,180.959478,C
180.959478,184.142577,G
184.142577,185.394489,N
185.394489,189.794671,G:maj(*1)/5
189.794671,211.23644700000003,G
211.23644700000003,216.68571400000002,N
