begin,end,chord
0.0,0.4021,N
0.4021,1.132539,F#:min
1.132539,1.8291380000000002,F#:min
1.8291380000000002,3.0481849999999997,B/5
3.0481849999999997,3.7447839999999997,B:min/5
3.7447839999999997,4.882562,F#:min
4.882562,5.544331,C#
5.544331,6.7749880000000005,F#:min
6.7749880000000005,7.506417,F#:min7
7.506417,8.702244,B/5
8.702244,9.422063,B:min/5
9.422063,10.606281,F#:min
10.606281,11.337709,C#
11.337709,12.487097,F#:min
12.487097,13.206916,A
13.206916,14.298253,D:maj7
14.298253,15.018072,A
15.018072,16.15585,D:maj7
16.15585,16.864058,A
16.864058,17.990226,D:maj7
17.990226,18.930634,A
18.930634,19.882653,C#:7
19.882653,21.728639,F#:min
21.728639,22.471678,F#:min7
22.471678,23.632675,B/5
23.632675,24.387324,B:min/5
24.387324,25.559931,F#:min
25.559931,26.256529999999998,C#:7
26.256529999999998,27.452358,F#:min
27.452358,28.195396000000002,F#:min7
28.195396000000002,29.356394,B/5
29.356394,30.099433,B:min/5
30.099433,31.2256,F#:min
31.2256,31.968639000000003,C#:7
31.968639000000003,33.094807,F#:min
33.094807,33.768184999999995,A
33.768184999999995,34.882743,D:maj7
34.882743,35.614171999999996,A
35.614171999999996,36.71712,D:maj7
36.71712,37.402108,A
37.402108,38.586326,D:maj7
38.586326,39.503514,A
39.503514,40.397482000000004,C#:7
40.397482000000004,42.243469,F#:min
42.243469,44.089455,B:maj(*3)
44.089455,45.912222,E
45.912222,47.758208,A
47.758208,49.650634000000004,F#:min
49.650634000000004,51.450181,B:maj(*3)
51.450181,53.296167000000004,E
53.296167000000004,55.165374,A
55.165374,55.687823,C#:sus4
55.687823,57.1739,C#
57.1739,57.824057999999994,F#:min7
57.824057999999994,59.008276,B/5
59.008276,59.704875,B:min/5
59.704875,60.865873,F#:min
60.865873,61.597301,C#
61.597301,62.793129,F#:min
62.793129,63.512947,F#:min
63.512947,64.731995,B/5
64.731995,65.44020400000001,B:min/5
65.44020400000001,66.659251,F#:min
66.659251,67.33263000000001,C#
67.33263000000001,68.48201800000001,F#:min
68.48201800000001,69.190226,A
69.190226,70.304784,D:maj7
70.304784,70.989773,A
70.989773,72.15077,D:maj7
72.15077,72.847369,A
72.847369,74.019977,D:maj7
74.019977,74.98360500000001,A
74.98360500000001,75.889183,C#:7
75.889183,77.793219,F#:min
77.793219,79.674036,B:maj(*3)
79.674036,81.566462,E
81.566462,83.458888,A
83.458888,85.351315,F#:min
85.351315,87.243741,B:maj(*3)
87.243741,89.124557,E
89.124557,91.016984,A
91.016984,91.492993,C#:sus4
91.492993,92.93263,C#
92.93263,93.687278,F#:min
93.687278,94.825056,B/5
94.825056,95.579705,B:min/5
95.579705,96.752312,F#:min
96.752312,97.437301,C#:7
97.437301,98.679569,F#:min
98.679569,99.387777,F#:min
99.387777,100.571995,B/5
100.571995,101.291814,B:min/5
101.291814,102.476031,F#:min
102.476031,103.20746,C#
103.20746,104.356848,F#:min
104.356848,105.018616,A
105.018616,106.17961399999999,D:maj7
106.17961399999999,106.87621299999999,A
106.87621299999999,107.97916000000001,D:maj7
107.97916000000001,108.745419,A
108.745419,109.918027,D:maj7
109.918027,110.85843500000001,A
110.85843500000001,111.775623,C#:7
111.775623,113.644829,F#:min
113.644829,114.35303799999998,F#:min
114.35303799999998,115.57208600000001,B/5
115.57208600000001,116.257074,B:min/5
116.257074,117.44129199999999,F#:min
117.44129199999999,118.10306100000001,C#
118.10306100000001,119.368548,F#:min
119.368548,120.076757,F#:min
120.076757,121.260975,B/5
121.260975,121.957573,B:min/5
121.957573,123.19984099999999,F#:min
123.19984099999999,125.394126,C#:7
125.394126,131.448351,F#:min
131.448351,136.986122,N
