begin,end,chord
0.0,0.45954300000000003,N
0.45954300000000003,1.480839,B
1.480839,2.676666,E
2.676666,3.8841040000000002,B
3.8841040000000002,6.357029,E
6.357029,13.717754999999999,E
13.717754999999999,16.17907,A
16.17907,23.632675,E
23.632675,26.14043,A
26.14043,27.359478000000003,B:sus4
27.359478000000003,28.613356,B
28.613356,31.051451,E
31.051451,33.570816,E
33.570816,36.032131,A:min
36.032131,38.528276,E
38.528276,41.036031,A:min
41.036031,42.313128999999996,A:min
42.313128999999996,43.555396,B
43.555396,46.016712,E
46.016712,48.547686999999996,B
48.547686999999996,55.908412,E
55.908412,58.392947,A
58.392947,65.695623,E
65.695623,68.26142800000001,A
68.26142800000001,69.538526,B:sus4
69.538526,70.769183,B
70.769183,73.230498,E
73.230498,75.786245,E
75.786245,78.198844,A:min
78.198844,80.726329,E
80.726329,83.191859,A:min
83.191859,84.434126,A:min
84.434126,85.65317399999999,B
85.65317399999999,88.114489,E
88.114489,90.587414,B
90.587414,97.98297,E
97.98297,100.432675,A
100.432675,107.793401,E
107.793401,110.27793600000001,A
110.27793600000001,111.450544,B
111.450544,112.716031,B:7
112.716031,115.200566,E
115.200566,117.685102,E
117.685102,120.16963700000001,A:min
120.16963700000001,122.621302,E
122.621302,125.13870700000001,A:min
125.13870700000001,126.334535,A:min
126.334535,127.634852,B
127.634852,130.061337,E
130.061337,132.522653,B
132.522653,139.92981799999998,E
139.92981799999998,142.414353,A
142.414353,149.809909,E
149.809909,152.34088400000002,A
152.34088400000002,153.53671200000002,B:sus4
153.53671200000002,154.778979,B
154.778979,157.22868400000002,E
157.22868400000002,159.736439,E:7
159.736439,161.454716,E
161.454716,165.875756,E
165.875756,170.814694,N
