begin,end,chord
0.0,0.42124700000000004,N
0.42124700000000004,7.525011,N
7.525011,9.370997000000001,D
9.370997000000001,11.124103999999999,G
11.124103999999999,12.935260000000001,D
12.935260000000001,14.746417000000001,G
14.746417000000001,16.557573,D
16.557573,18.40356,G
18.40356,20.319206,D
20.319206,22.141972,G
22.141972,24.011179000000002,B:min
24.011179000000002,27.679931,G
27.679931,29.560747999999997,D
29.560747999999997,31.429954,G
31.429954,33.3456,D
33.3456,35.168366999999996,G
35.168366999999996,37.072403,D
37.072403,38.906779,G
38.906779,40.787596,B:min
40.787596,44.491178999999995,G
44.491178999999995,46.370976,D
46.370976,48.217981,G
48.217981,50.063968,B:min
50.063968,51.898344,G
51.898344,53.721111,B:min
53.721111,57.401472999999996,E
57.401472999999996,61.128276,A
61.128276,62.997482,D
62.997482,64.808639,G
64.808639,66.67784499999999,D
66.67784499999999,68.558662,G
68.558662,70.43947800000001,B:min
70.43947800000001,74.131451,G
74.131451,76.023877,D
76.023877,77.858253,G
77.858253,79.75068,D
79.75068,81.561836,G
81.561836,83.454262,D
83.454262,85.277029,G
85.277029,87.10248299999999,B:min
87.10248299999999,88.969002,G
88.969002,90.849818,G
90.849818,92.707414,D
92.707414,94.58823100000001,G
94.58823100000001,96.422607,B:min
96.422607,98.245374,G
98.245374,100.07975,B:min
100.07975,103.818163,E:min
103.818163,107.59140500000001,A
107.59140500000001,109.472222,D
109.472222,111.283378,G
111.283378,113.175804,D
113.175804,115.05662099999999,G
115.05662099999999,116.925827,B:min
116.925827,118.771813,G
118.771813,120.64102,G
120.64102,122.52183600000001,D
122.52183600000001,124.33299299999999,G
124.33299299999999,126.271859,D
126.271859,128.164285,G
128.164285,130.021882,D
130.021882,131.914308,G
131.914308,132.482322,D
132.482322,133.76521200000002,D:(1)
133.76521200000002,135.567708,N
135.567708,139.240204,A:(1)
139.240204,141.0978,D
141.0978,142.932176,G:7
142.932176,144.76655300000002,D
144.76655300000002,146.589319,G:7
146.589319,148.470135,D
148.470135,150.30451200000002,G
150.30451200000002,154.69714299999998,N
