begin,end,chord
0.0,1.213809,N
1.213809,4.812901999999999,A
4.812901999999999,8.783514,A
8.783514,10.664330999999999,D:9
10.664330999999999,12.510317,G
12.510317,14.391132999999998,A:min
14.391132999999998,16.17907,G
16.17907,18.071496,C
18.071496,19.963922,F
19.963922,21.844739,C
21.844739,23.725555,F
23.725555,25.606371,C
25.606371,27.510408,F
27.510408,31.039841,G
31.039841,34.801473,A
34.801473,38.772086,A
38.772086,40.664512,D:9
40.664512,42.568548,G
42.568548,44.437754999999996,A:min
44.437754999999996,46.237301,G
46.237301,48.118117,C
48.118117,50.022154,F
50.022154,51.89136,C
51.89136,53.80700600000001,F
53.80700600000001,55.711043000000004,C
55.711043000000004,57.615079,F
57.615079,61.157469999999996,G
61.157469999999996,64.894535,A
64.894535,68.969637,A
68.969637,70.850453,D:9
70.850453,72.754489,G
72.754489,76.609002,A:min
76.609002,78.54786800000001,C
78.54786800000001,80.463514,A:min
80.463514,82.37916,C
82.37916,84.283197,A:min
84.283197,86.18723299999999,F
86.18723299999999,88.07965899999999,G
88.07965899999999,90.018526,F
90.018526,91.969002,G
91.969002,93.942698,A:min
93.942698,95.777074,G
95.777074,97.75076999999999,C
97.75076999999999,99.689637,F
99.689637,101.593673,C
101.593673,103.462879,F
103.462879,105.459795,C
105.459795,107.37544199999999,F
107.37544199999999,111.020975,G
111.020975,114.81743700000001,A
114.81743700000001,118.904149,A
118.904149,120.78496499999999,D:9
120.78496499999999,122.73544199999999,G
122.73544199999999,126.624784,A
126.624784,128.56365,D:9
128.56365,130.339977,G
130.339977,134.052426,C
134.052426,138.37061200000002,N
