begin,end,chord
0.0,0.344657,N
0.344657,3.810375,Db
3.810375,4.691165,Gb
4.691165,5.571955,Ab
5.571955,7.314387,Db
7.314387,10.733989999999999,Db
10.733989999999999,16.004920000000002,Db
16.004920000000002,17.769637,Ab
17.769637,22.947687,Ab
22.947687,24.642743,Db
24.642743,28.079296999999997,Db
28.079296999999997,29.809183,Db:7
29.809183,31.49263,Gb
31.49263,32.374988,Gb
32.374988,33.245736,E:dim7/b3
33.245736,34.104875,Db/5
34.104875,34.905963,Bb:7
34.905963,35.765102,Eb:9
35.765102,36.612629999999996,Ab
36.612629999999996,38.400566,Db
38.400566,41.75585,Bb:min
41.75585,43.427687,Ab
43.427687,45.134353000000004,Bb:min
45.134353000000004,48.512857000000004,Bb:min
48.512857000000004,51.96102,F
51.96102,55.362743,Bb:min
55.362743,58.718027,Eb:min
58.718027,60.436303,Gb
60.436303,62.09653,Ab
62.09653,63.814806999999995,Db
63.814806999999995,67.2978,Ab
67.2978,72.37136,Db
72.37136,74.066417,Ab
74.066417,79.209637,Ab:7
79.209637,80.881473,Db
80.881473,84.213537,Db
84.213537,85.955034,Db:7
85.955034,87.59204,Gb
87.59204,88.497619,Gb
88.497619,89.33353699999999,E:dim7/b3
89.33353699999999,90.181065,Db/5
90.181065,91.005374,Bb:7
91.005374,91.887732,Eb:9
91.887732,92.71204,Ab
92.71204,94.48836700000001,Db
94.48836700000001,97.83204,Bb:min
97.83204,99.527097,Ab
99.527097,101.23376400000001,Bb:min
101.23376400000001,104.577437,Bb:min
104.577437,107.932721,F
107.932721,111.311224,Bb:min
111.311224,114.66650700000001,Eb:min
114.66650700000001,116.33834399999999,Gb
116.33834399999999,118.06823100000001,Ab
118.06823100000001,119.786507,Db
119.786507,123.211451,Ab
123.211451,128.343061,Db
128.343061,130.014897,Ab
130.014897,135.134897,Ab
135.134897,136.806734,Db
136.806734,140.173628,Db
140.173628,141.82224399999998,Db:7
141.82224399999998,143.50569099999998,Gb
143.50569099999998,144.36482900000001,Gb
144.36482900000001,145.212358,E:dim7/b3
145.212358,146.048276,Db/5
146.048276,146.87258500000002,Bb:7
146.87258500000002,147.743333,Eb:9
147.743333,148.56764099999998,Ab
148.56764099999998,150.343968,Db
150.343968,153.757301,Db
153.757301,154.604829,Gb
154.604829,155.429138,Ab
155.429138,155.82326,Db
155.82326,156.321098,Ab
156.321098,156.79978799999998,Db
156.79978799999998,157.727347,N
