begin,end,chord
0.0,0.06,N
0.06,2.282828,A:min
2.282828,4.303764,A:min/b7
4.303764,6.4516089999999995,A:min/6
6.4516089999999995,8.541405000000001,F
8.541405000000001,10.689250999999999,A:min
10.689250999999999,12.767437,G
12.767437,14.868843,D
14.868843,16.993469,E
16.993469,19.129704999999998,A:min
19.129704999999998,21.242721,A:min/b7
21.242721,23.320907000000002,A:min/6
23.320907000000002,25.477155,F
25.477155,27.616625,A:min
27.616625,29.729614,G
29.729614,31.912290000000002,D
31.912290000000002,34.025306,E
34.025306,36.126712,A:min
36.126712,38.193287,A:min/b7
38.193287,40.225034,A:min/6
40.225034,42.309106,F
42.309106,44.448575,A:min
44.448575,46.529251,G
46.529251,48.640189,C
48.640189,50.732063000000004,E
50.732063000000004,52.798639,A
52.798639,54.971273,C#:min
54.971273,57.045249,F#:min
57.045249,59.162887,C#:min
59.162887,63.419996,B:min
63.419996,64.511562,E
64.511562,65.559465,E/2
65.559465,66.544852,E/3
66.544852,67.655272,E/4
67.655272,69.714376,A
69.714376,71.846887,C#:min
71.846887,73.928798,F#:min
73.928798,76.06033199999999,C#:min
76.06033199999999,80.302675,B:min
80.302675,81.31274300000001,E
81.31274300000001,82.380861,E/2
82.380861,83.414149,E/3
83.414149,84.509054,E/4
84.509054,86.572063,A:min
86.572063,88.65700600000001,A:min/b7
88.65700600000001,90.716825,A:min/6
90.716825,92.77179100000001,F
92.77179100000001,94.87319699999999,A:min
94.87319699999999,97.009433,G
97.009433,99.180498,D
99.180498,101.281904,E
101.281904,103.31365,A:min
103.31365,105.44529399999999,A:min/b7
105.44529399999999,107.516462,A:min/6
107.516462,109.59464799999999,F
109.59464799999999,111.661224,A:min
111.661224,113.71619,G
113.71619,115.805986,C
115.805986,117.826122,E
117.826122,119.88108799999999,A:min
119.88108799999999,121.936054,A:min/b7
121.936054,124.00263000000001,A:min/6
124.00263000000001,126.05759599999999,F
126.05759599999999,128.100952,A:min
128.100952,130.121088,G
130.121088,132.176054,D
132.176054,134.19619,E
134.19619,136.262766,A:min
136.262766,138.34095200000002,A:min/b7
138.34095200000002,140.41913799999998,A:min/6
140.41913799999998,142.427664,F
142.427664,144.52907,A:min
144.52907,146.607256,G
146.607256,148.649484,C
148.649484,150.679797,E
150.679797,152.772154,A
152.772154,154.87141100000002,C#:min
154.87141100000002,156.945387,F#:min
156.945387,159.018321,C#:min
159.018321,163.197913,B:min
163.197913,164.21959099999998,E
164.21959099999998,165.287709,E/2
165.287709,166.320997,E/3
166.320997,167.29343400000002,E/4
167.29343400000002,169.389241,A
169.389241,171.485048,C#:min
171.485048,173.565623,F#:min
173.565623,175.67863899999998,C#:min
175.67863899999998,179.85823100000002,B:min
179.85823100000002,180.914739,E
180.914739,181.936417,E/2
181.936417,183.004535,E/3
183.004535,183.991383,E/4
183.991383,186.068373,A:min
186.068373,188.112925,A:min/b7
188.112925,190.128999,A:min/6
190.128999,192.19963700000002,F
192.19963700000002,194.29878200000002,A:min
194.29878200000002,196.394589,G
196.394589,198.480634,D
198.480634,200.54721,E
200.54721,202.578956,A:min
202.578956,204.734154,A:min/b7
204.734154,206.793378,A:min/6
206.793378,208.882106,F
208.882106,210.94975,A:min
210.94975,213.051156,G
213.051156,215.164172,C
215.164172,217.230748,E
217.230748,219.285714,A:min
219.285714,221.31746,A:min/b7
221.31746,223.43047599999997,A:min/6
223.43047599999997,225.450612,F
225.450612,227.50557799999999,A:min
227.50557799999999,229.583764,G
229.583764,231.66195,D
231.66195,233.65886600000002,E
233.65886600000002,235.806712,A:min
235.806712,237.815238,A:min/b7
237.815238,239.88181400000002,A:min/6
239.88181400000002,241.94839,F
241.94839,243.956916,A:min
243.956916,246.035102,G
246.035102,248.101678,C
248.101678,250.13342400000002,E
250.13342400000002,252.18839,A:min
252.18839,254.26942799999998,A:min/b7
254.26942799999998,256.343404,A:min/6
256.343404,258.376507,F
258.376507,260.431473,A:min
260.431473,262.556099,G
262.556099,264.599455,D
264.599455,266.607981,E
266.607981,268.697777,A:min
268.697777,270.741133,A:min/b7
270.741133,272.807709,A:min/6
272.807709,274.804625,F
274.804625,276.894421,A:min
276.894421,278.926167,G
278.926167,281.039183,C
281.039183,283.216579,E
283.216579,285.309388,N
