begin,end,chord
0.0,10.403989,N
10.403989,18.076335999999998,D
18.076335999999998,20.615782,D:7
20.615782,25.700951999999997,G
25.700951999999997,30.797732,D:7
30.797732,33.340317,A
33.340317,35.940952,G
35.940952,40.979682000000004,D:7
40.979682000000004,51.347392,D:7
51.347392,56.455803,G
56.455803,61.498839000000004,D:7
61.498839000000004,64.01387700000001,A
64.01387700000001,66.521632,G
66.521632,71.606802,D:7
71.606802,81.753922,D:7
81.753922,86.931972,G
86.931972,91.982312,D:7
91.982312,94.524897,A
94.524897,97.079092,G
97.079092,99.280364,D:7
99.280364,101.459592,N
