begin,end,chord
0.0,0.087386,N
0.087386,2.757936,G:7
2.757936,5.439841,F:7
5.439841,6.751767999999999,E:7
6.751767999999999,8.063696,Eb:7
8.063696,9.439772,D:7
9.439772,14.877694,G:7
14.877694,17.500917,G:7
17.500917,20.184511999999998,F:7
20.184511999999998,21.496439000000002,E:7
21.496439000000002,22.823953,Eb:7
22.823953,24.183432999999997,D:7
24.183432999999997,29.525616999999997,G:7
29.525616999999997,32.247278,G:7
32.247278,34.925243,F:7
34.925243,36.171451,E:7
36.171451,37.567613,Eb:7
37.567613,38.869651,D:7
38.869651,41.593309999999995,G:7
41.593309999999995,44.263605,F:7
44.263605,46.96873,G:7
46.96873,49.639024,F:7
49.639024,52.471099,G:7
52.471099,52.92408199999999,N
