begin,end,chord
0.0,1.2063,N
1.2063,31.469409999999996,C#
31.469409999999996,60.391566000000005,C#
60.391566000000005,64.139886,F#/5
64.139886,118.92581299999999,C#
118.92581299999999,127.006105,F#/5
127.006105,130.815986,C#
130.815986,135.56446699999998,F#/5
135.56446699999998,136.062925,C#:sus4
136.062925,273.48533100000003,C#
273.48533100000003,281.240113,F#/5
281.240113,284.961655,C#
284.961655,289.59403599999996,F#/5
289.59403599999996,290.028867,C#:sus4
290.028867,304.466166,C#
304.466166,305.08408199999997,N
