begin,end,chord
0.0,0.426857,N
0.426857,0.656213,E
0.656213,2.557446,A
2.557446,3.509465,D
3.509465,4.461483,E
4.461483,6.319079,A
6.319079,7.282707,D
7.282707,8.269555,E
8.269555,10.161982,A
10.161982,11.13722,D
11.13722,12.089238,E
12.089238,14.062934,A
14.062934,15.014952,D
15.014952,15.966970000000002,E
15.966970000000002,17.894226,A
17.894226,18.881075,D
18.881075,19.856313,E
19.856313,21.771959,A
21.771959,22.747197,D
22.747197,23.734045000000002,E
23.734045000000002,25.672911,A
25.672911,26.636539000000003,D
26.636539000000003,27.623387,E
27.623387,29.550644000000002,A
29.550644000000002,30.537491999999997,D
30.537491999999997,31.512729999999998,E
31.512729999999998,33.463206,A
33.463206,34.450053999999994,D
34.450053999999994,35.436902,E
35.436902,37.364158,A
37.364158,38.362617,D
38.362617,39.361075,E
39.361075,41.299941,A
41.299941,42.321619,D
42.321619,43.296857,E
43.296857,45.247333000000005,A
45.247333000000005,46.269011,D
46.269011,47.197809,E
47.197809,49.194725,A
49.194725,50.158353000000005,D
50.158353000000005,51.145202000000005,E
51.145202000000005,53.142118,A
53.142118,54.140576,D
54.140576,55.115814,E
55.115814,57.0779,A
57.0779,58.064748,D
58.064748,59.06320600000001,E
59.06320600000001,61.066477,A
61.066477,62.025456000000005,D
62.025456000000005,62.964158,E
62.964158,64.914635,A
64.914635,65.901483,D
65.901483,66.88833100000001,E
66.88833100000001,68.83880699999999,A
68.83880699999999,69.790825,D
69.790825,70.800893,E
70.800893,72.751369,A
72.751369,73.726607,D
73.726607,74.725065,E
74.725065,76.752649,A
76.752649,77.745879,D
77.745879,78.660848,E
78.660848,80.611324,A
80.611324,81.621392,D
81.621392,82.58502,E
82.58502,84.547106,A
84.547106,85.52234399999999,D
85.52234399999999,86.520802,E
86.520802,88.482889,A
88.482889,89.49295699999999,D
89.49295699999999,90.479805,E
90.479805,92.453501,A
92.453501,93.417129,D
93.417129,94.42719699999999,E
94.42719699999999,96.412503,A
96.412503,97.387741,D
97.387741,98.409419,E
98.409419,100.406335,A
100.406335,101.393183,D
101.393183,102.356812,E
102.356812,104.353728,A
104.353728,105.352186,D
105.352186,106.35064399999999,E
106.35064399999999,108.34756000000002,A
108.34756000000002,109.31118799999999,D
109.31118799999999,110.309646,E
110.309646,112.318172,A
112.318172,113.30502,D
113.30502,114.303478,E
114.303478,116.32361399999999,A
116.32361399999999,117.32207199999999,D
117.32207199999999,118.2857,E
118.2857,120.28261699999999,A
120.28261699999999,121.292685,D
121.292685,122.25631299999999,E
122.25631299999999,124.241619,A
124.241619,125.25168700000002,D
125.25168700000002,126.226925,E
126.226925,128.258671,A
128.258671,129.245519,D
129.245519,133.024226,E
133.024226,134.739592,N
