begin,end,chord
0.0,0.45954300000000003,N
0.45954300000000003,0.9932190000000001,F#
0.9932190000000001,2.595396,C#
2.595396,3.187505,B
3.187505,4.905782,F#
4.905782,5.4514510000000005,D#:min
5.4514510000000005,7.1348970000000005,G#:min
7.1348970000000005,7.703786,G#:min
7.703786,9.375623,C#
9.375623,9.921292,B
9.921292,11.546689,C#
11.546689,12.057528,B
12.057528,13.775804,F#
13.775804,14.309863,D#:min
14.309863,15.87721,G#:min
15.87721,16.434489000000003,G#:min
16.434489000000003,18.071496,C#
18.071496,18.640385000000002,B
18.640385000000002,20.242562,C#
20.242562,20.811451,B
20.811451,22.402017999999998,F#
22.402017999999998,22.970907,D#:min
22.970907,24.561473,G#:min
24.561473,25.095532000000002,G#:min
25.095532000000002,26.732539000000003,C#
26.732539000000003,27.254988,B
27.254988,28.880384999999997,C#
28.880384999999997,29.449274,B
29.449274,31.074671000000002,F#
31.074671000000002,31.643559999999997,D#:min
31.643559999999997,33.222516999999996,G#:min
33.222516999999996,33.779795,G#:min
33.779795,35.974081,C#
35.974081,38.103746,F#
38.103746,42.487278,C#
42.487278,44.600294,F#
44.600294,46.724920000000004,F#
46.724920000000004,51.043832,C#
51.043832,53.168457999999994,F#
53.168457999999994,54.793854,C#
54.793854,55.327913,B
55.327913,56.98814,F#
56.98814,57.498979000000006,D#:min
57.498979000000006,59.112766,G#:min
59.112766,59.635215,G#:min
59.635215,61.330271999999994,C#
61.330271999999994,61.899159999999995,B
61.899159999999995,63.454896999999995,C#
63.454896999999995,64.04700600000001,B
64.04700600000001,65.625963,F#
65.625963,68.356972,F#
68.356972,69.956485,C#
69.956485,70.513764,B
70.513764,72.696439,F#
72.696439,74.86750500000001,C#
74.86750500000001,76.980521,C#
76.980521,79.11675699999999,F#
79.11675699999999,81.241383,F#
81.241383,83.354399,C#
83.354399,85.50224399999999,C#
85.50224399999999,87.65009,F#
87.65009,89.229047,C#
89.229047,89.821156,B
89.821156,91.458163,F#
91.458163,92.00383199999999,D#:min
92.00383199999999,93.582789,G#:min
93.582789,94.18650699999999,G#:min
94.18650699999999,95.869954,C#
95.869954,96.438843,B
96.438843,98.12229,C#
98.12229,98.644739,B
98.644739,100.270136,F#
100.270136,100.888763,D#:min
100.888763,102.429591,G#:min
102.429591,102.98687,G#:min
102.98687,104.681927,C#
104.681927,105.22759599999999,B
105.22759599999999,106.87621299999999,C#
106.87621299999999,107.41027199999999,B
107.41027199999999,109.082108,F#
109.082108,109.61616699999999,D#:min
109.61616699999999,111.21834399999999,G#:min
111.21834399999999,111.76401299999999,G#:min
111.76401299999999,113.36618999999999,C#
113.36618999999999,113.935079,B
113.935079,115.514036,C#
115.514036,116.05970500000001,B
116.05970500000001,117.708321,F#
117.708321,118.184331,D#:min
118.184331,119.84455700000001,G#:min
119.84455700000001,120.378616,G#:min
120.378616,122.549682,C#
122.549682,124.778798,F#
124.778798,129.039659,C#
129.039659,131.164285,F#
131.164285,133.32374099999998,F#
133.32374099999998,137.61943300000001,C#
137.61943300000001,139.755668,F#
139.755668,141.915124,F#
141.915124,144.06297,C#
144.06297,146.199206,C#
146.199206,148.358662,F#
148.358662,150.460068,F#
150.460068,152.66596299999998,C#
152.66596299999998,154.767369,C#
154.767369,156.79978799999998,F#
156.79978799999998,160.417959,N
