begin,end,chord
0.0,3.389127,N
3.389127,12.637423,E
12.637423,17.275668,A
17.275668,22.035759,E
22.035759,24.357754999999997,G
24.357754999999997,27.610854999999997,B
27.610854999999997,28.395907,E
28.395907,28.817155,E/3
28.817155,30.035034000000003,A
30.035034000000003,31.172811,E/5
31.172811,32.322199,B
32.322199,41.761111,E
41.761111,46.428321000000004,A
46.428321000000004,51.200022,E
51.200022,53.580068000000004,G
53.580068000000004,56.92374100000001,B
56.92374100000001,57.69,E
57.69,58.131179,E/3
58.131179,59.327006000000004,A
59.327006000000004,60.511224,E/5
60.511224,61.683831999999995,B
61.683831999999995,63.47433100000001,E
63.47433100000001,64.11031700000001,B:7
64.11031700000001,65.956303,E
65.956303,66.525192,B:7
66.525192,71.05678499999999,E
71.05678499999999,75.755124,A
75.755124,80.53843499999999,E
80.53843499999999,82.90687,G
82.90687,86.192494,B
86.192494,87.00519200000001,E
87.00519200000001,87.457981,E/3
87.457981,88.61897900000001,A
88.61897900000001,89.79158699999999,E/5
89.79158699999999,90.917755,B
90.917755,92.808471,E
92.808471,93.33263000000001,B:7
93.33263000000001,95.190226,E
95.190226,95.75911500000001,B:7
95.75911500000001,100.530816,E
100.530816,105.105147,A
105.105147,109.80718799999998,E
109.80718799999998,112.16401299999998,G
112.16401299999998,115.39158700000002,B
115.39158700000002,116.157845,E
116.157845,116.575804,E/3
116.575804,117.76002199999999,A
117.76002199999999,118.8978,E/5
118.8978,120.10523799999999,B
120.10523799999999,121.99766399999999,E
121.99766399999999,122.566553,B:7
122.566553,124.389319,E
124.389319,125.004648,B:7
125.004648,129.776349,E
129.776349,134.26941000000002,A
134.26941000000002,138.855351,E
138.855351,141.130907,G
141.130907,143.429682,B
143.429682,145.693628,E
145.693628,147.94596299999998,B
147.94596299999998,156.734716,E
156.734716,161.158117,A
161.158117,165.558299,E
165.558299,167.764195,G
167.764195,170.01653000000002,B
170.01653000000002,172.257256,E
172.257256,174.439931,B
174.439931,183.356394,E
183.356394,187.74496499999998,A
187.74496499999998,192.226417,E
192.226417,194.467142,G
194.467142,196.777528,B
196.777528,207.37743700000001,E
207.37743700000001,212.07947799999997,A
212.07947799999997,216.804739,E
216.804739,219.126734,G
219.126734,222.399504,B
222.399504,223.107966,E
223.107966,223.538526,E/3
223.538526,224.722743,A
224.722743,225.89535099999998,E/5
225.89535099999998,226.986689,B
226.986689,238.80900699999998,E
238.80900699999998,241.110204,N
