begin,end,chord
0.0,0.440395,N
0.440395,5.396961,F:maj(*3)
5.396961,7.8931059999999995,F:maj(*3)
7.8931059999999995,9.112153999999999,E:min
9.112153999999999,10.416300999999999,A:7
10.416300999999999,12.258458000000001,D:min
12.258458000000001,12.827346,D:min/b7
12.827346,14.046394,Bb:maj7
14.046394,15.300272,C:7
15.300272,17.079669,F
17.079669,17.680317000000002,F/7
17.680317000000002,18.887755,D:min
18.887755,20.130022,G
20.130022,20.768570999999998,Bb
20.768570999999998,22.626167000000002,F
22.626167000000002,25.095075,F
25.095075,26.318140000000003,A:sus4/5
26.318140000000003,27.537188,A
27.537188,29.406394,D:min
29.406394,29.986893,A:min/b3
29.986893,31.217551,Bb:maj
31.217551,32.436598,C
32.436598,33.048777,Bb/5
33.048777,34.874693,F
34.874693,36.140181,D:min7
36.140181,37.312789,G:7
37.312789,37.951337,Bb
37.951337,39.890204,F
39.890204,41.144081,E:min7(4)
41.144081,42.351519,A
42.351519,43.001678000000005,D:min
43.001678000000005,43.605396,D:min/b7
43.605396,44.232335,Bb
44.232335,44.859274,Bb/7
44.859274,46.043492,G:min
46.043492,47.274149,C
47.274149,49.758684,F
49.758684,50.989342,E:min7(4)
50.989342,52.18517,A
52.18517,52.800498,D:min
52.800498,53.473877,D:min/b7
53.473877,54.100816,Bb
54.100816,54.681315000000005,Bb/7
54.681315000000005,55.935192,G:min
55.935192,57.177459999999996,C
57.177459999999996,59.766484999999996,F
59.766484999999996,62.15814,F
62.15814,63.377188000000004,A:sus4/5
63.377188000000004,64.723945,A
64.723945,66.651201,D:min
66.651201,67.28975,A:min/b3
67.28975,68.53201800000001,Bb
68.53201800000001,69.785895,C
69.785895,70.405766,Bb/5
70.405766,72.30526,F
72.30526,73.559138,D:min7
73.559138,74.801405,G:7
74.801405,75.509614,Bb
75.509614,77.36721,F
77.36721,78.667528,E:min7(4)
78.667528,79.85174599999999,A
79.85174599999999,80.49029399999999,D:min
80.49029399999999,81.18689300000001,D:min/b7
81.18689300000001,81.82544200000001,Bb
81.82544200000001,82.44077,Bb/7
82.44077,83.752698,G:min
83.752698,84.86725600000001,C
84.86725600000001,86.022774,F
86.022774,87.328571,F:7
87.328571,88.547619,E:min7(4)
88.547619,89.82471600000001,A
89.82471600000001,90.38199499999999,D:min
90.38199499999999,91.032154,D:min/b7
91.032154,91.635873,Bb
91.635873,92.262811,Bb/7
92.262811,93.49346899999999,G:min
93.49346899999999,94.724126,C
94.724126,97.324761,F
97.324761,99.890566,F
99.890566,101.10961400000001,E:min7(4)
101.10961400000001,102.409931,A
102.409931,104.277891,D:min
104.277891,104.95251699999999,D:min/b7
104.95251699999999,106.136734,Bb:maj7
106.136734,107.390612,C:maj6
107.390612,107.96593700000001,Bb:maj7/5
107.96593700000001,109.25801000000001,F
109.25801000000001,109.875147,F/7
109.875147,111.152244,D:min
111.152244,112.359682,G
112.359682,113.06789099999999,Bb
113.06789099999999,114.937097,F
114.937097,116.330294,F/5
116.330294,117.81637099999999,G/3
117.81637099999999,118.69873,Bb
118.69873,123.16913999999998,F
123.16913999999998,127.451429,N
