begin,end,chord
0.0,0.42124700000000004,N
0.42124700000000004,4.058253,G
4.058253,7.796666,G:7
7.796666,15.157392000000002,G:7
15.157392000000002,18.895804000000002,C:7
18.895804000000002,22.645827,G:7
22.645827,24.213174,D:7
24.213174,26.233309999999996,C:7
26.233309999999996,28.090907,G:7
28.090907,29.925283,D:7
29.925283,37.390498,G:7
37.390498,41.140521,C:7
41.140521,44.890544,G:7
44.890544,46.66687,D:7
46.66687,48.512857000000004,C:7
48.512857000000004,52.181609,G:7
52.181609,54.050816000000005,B
54.050816000000005,55.920021999999996,E:min
55.920021999999996,56.848819999999996,A:min
56.848819999999996,57.789229000000006,B:min
57.789229000000006,59.635215,G
59.635215,61.446371,B
61.446371,63.373628000000004,E:min
63.373628000000004,65.266054,A:min
65.266054,66.043922,B:min
66.043922,67.20492,D
67.20492,74.646916,G:7
74.646916,78.396938,C:7
78.396938,82.12374100000001,G:7
82.12374100000001,83.923287,D:7
83.923287,85.780884,C:7
85.780884,87.619469,G:7
87.619469,89.461247,D:7
89.461247,96.984512,G:7
96.984512,100.641655,C:7
100.641655,104.345238,G:7
104.345238,106.214444,D:7
106.214444,108.09526000000001,C:7
108.09526000000001,111.775623,G:7
111.775623,113.71448899999999,B
113.71448899999999,115.498391,E:min
115.498391,116.51249399999999,A:min
116.51249399999999,117.44129199999999,B:min
117.44129199999999,119.310498,G
119.310498,121.19131499999999,B
121.19131499999999,123.141791,E:min
123.141791,125.02260700000001,A:min
125.02260700000001,125.742426,B:min
125.742426,126.984693,D
126.984693,134.542789,G:7
134.542789,138.304421,C:7
138.304421,142.077664,G:7
142.077664,143.8656,D:7
143.8656,145.804467,C:7
145.804467,148.52802,G
148.52802,149.09009,F
149.09009,150.42363400000002,F#
150.42363400000002,152.81708500000002,G
152.81708500000002,157.64898,N
