begin,end,chord
0.0,3.097655,A:min7
3.097655,4.1279129999999995,D:min9
4.1279129999999995,5.98551,D:min
5.98551,8.888003999999999,G:7
8.888003999999999,9.909682,C:sus4
9.909682,11.790498,C
11.790498,14.681382999999999,F:maj7
14.681382999999999,15.703060999999998,B:dim
15.703060999999998,17.514217000000002,E
17.514217000000002,23.295986,A:min
23.295986,26.24492,A:min7
26.24492,27.350323,D:min9
27.350323,29.147414,D:min
29.147414,32.084739,G:7
32.084739,33.152857,C:sus4
33.152857,35.010453000000005,C
35.010453000000005,37.912946999999996,F:maj7
37.912946999999996,38.957845,B:dim
38.957845,40.827052,E
40.827052,46.59721,A:min
46.59721,49.557755,A:min7
49.557755,50.567823,D:min9
50.567823,52.448639,D:min
52.448639,55.351133,G:7
55.351133,56.454081,C:sus4
56.454081,58.253628000000006,C
58.253628000000006,61.167731999999994,F:maj7
61.167731999999994,62.23585,B:dim
62.23585,64.11666600000001,E
64.11666600000001,68.495648,A:min
68.495648,69.817165,G
69.817165,71.25680200000001,C
71.25680200000001,72.63839,E
72.63839,74.008367,A:min
74.008367,75.355124,C:7
75.355124,76.725102,F
76.725102,78.071859,G
78.071859,80.742154,C
80.742154,82.100521,C
82.100521,83.447278,E
83.447278,84.817256,A:min
84.817256,86.210453,C:7
86.210453,87.59204,F
87.59204,88.950408,G
88.950408,91.678752,C
91.678752,94.37226700000001,Bb
94.37226700000001,97.135442,F
97.135442,99.910226,C
99.910226,102.650181,Bb
102.650181,105.36691599999999,F
105.36691599999999,108.09526000000001,C
108.09526000000001,110.765555,Bb
110.765555,113.45907,F
113.45907,116.22224399999999,C
116.22224399999999,118.88092900000001,Bb
118.88092900000001,121.586054,F
121.586054,124.30278899999999,C
124.30278899999999,126.984693,Bb
126.984693,129.666598,F
129.666598,132.336893,C
132.336893,134.983968,D
134.983968,136.31911499999998,Eb
136.31911499999998,137.61943300000001,G
137.61943300000001,138.58306100000001,C
138.58306100000001,140.196848,A
140.196848,141.253356,Eb
141.253356,142.843922,C
142.843922,143.8656,Gb
143.8656,145.43294699999998,Eb
145.43294699999998,146.454625,A
146.454625,147.093174,Gb
147.093174,147.696893,G
147.696893,148.045192,Ab
148.045192,150.76192700000001,A
150.76192700000001,153.36256200000003,B
153.36256200000003,154.65126899999998,C
154.65126899999998,155.998027,E
155.998027,158.656712,A
158.656712,159.71321899999998,D:min
159.71321899999998,161.315396,G/5
161.315396,162.313854,D:min
162.313854,163.927641,G/5
163.927641,166.586326,A
166.586326,167.944693,B
167.944693,168.91993100000002,C
168.91993100000002,170.580158,G/3
170.580158,173.169183,A
173.169183,174.179251,C
174.179251,175.827868,G/3
175.827868,178.428503,A
178.428503,179.392131,C
179.392131,181.063968,G/3
181.063968,183.722653,A
183.722653,184.697891,C
184.697891,186.369727,G/3
186.369727,188.94714199999999,A
188.94714199999999,189.92238,C
189.92238,191.570997,G/3
191.570997,194.160022,A
194.160022,195.12365,C
195.12365,196.714217,G/3
196.714217,199.314852,A
199.314852,200.31331,C
200.31331,201.880657,G/3
201.880657,204.423242,A
204.423242,205.34043,C
205.34043,206.977437,G/3
206.977437,209.473582,A
209.473582,210.37916,C
210.37916,211.946507,G/3
211.946507,214.512312,A
214.512312,215.394671,C
215.394671,216.96201800000003,G/3
216.96201800000003,219.539433,A
219.539433,220.37535099999997,C
220.37535099999997,221.954308,G/3
221.954308,224.473673,A
224.473673,225.32120099999997,C
225.32120099999997,226.92337799999999,G/3
226.92337799999999,229.373083,A
229.373083,230.278662,C
230.278662,231.84600899999998,G/3
231.84600899999998,234.30732400000002,A
234.30732400000002,235.212902,C
235.212902,236.78024900000003,G/3
236.78024900000003,242.416327,N
