begin,end,chord
0.0,0.440395,N
0.440395,2.054309,E
2.054309,5.038074,A
5.038074,8.010228,F#:min
8.010228,10.982382000000001,A
10.982382000000001,13.977756,F#:min
13.977756,20.096214,A
20.096214,26.226282,F#:min
26.226282,29.291316,A
29.291316,32.36796,D
32.36796,33.865646999999996,B:7
33.865646999999996,35.421384,E
35.421384,41.621112,A
41.621112,47.86728,F#:min
47.86728,54.148278000000005,A
54.148278000000005,60.394445,F#:min
60.394445,63.540749,A
63.540749,66.640613,D
66.640613,68.21956999999999,B:7
68.21956999999999,69.786917,E
69.786917,76.079525,A
76.079525,82.290863,F#:min
82.290863,85.437167,A
85.437167,88.58346999999999,D
88.58346999999999,90.185647,A
90.185647,91.834264,A
91.834264,93.575761,A
93.575761,97.395443,E
97.395443,98.974002,A
98.974002,99.821928,F#:min
99.821928,100.599797,A/5
100.599797,101.389275,F#:min
101.389275,102.085874,E
102.085874,103.60678100000001,A
103.60678100000001,105.12768799999999,A
105.12768799999999,105.893947,F#:sus4
105.893947,106.648595,A/5
106.648595,107.426464,F#:min
107.426464,108.215942,E
108.215942,109.74845900000001,A
109.74845900000001,115.98301699999999,A
115.98301699999999,122.322065,F#:min
122.322065,125.479978,A
125.479978,128.637892,D
128.637892,130.263289,B:7
130.263289,131.830636,E
131.830636,138.216123,A
138.216123,144.613221,F#:min
144.613221,147.817575,A
147.817575,150.987099,D
150.987099,152.600885,A
152.600885,154.30755200000002,A
154.30755200000002,155.944559,A
155.944559,159.717801,E
159.717801,166.184559,A
166.184559,172.523606,F#:min
172.523606,172.749748,A
172.749748,173.994343,N
173.994343,175.62347,A
175.62347,178.781246,A:9
178.781246,182.90938799999998,N
