begin,end,chord
0.0,0.45954300000000003,N
0.45954300000000003,1.225419,D
1.225419,4.441383,A
4.441383,6.438299,A
6.438299,8.458435,B
8.458435,10.548231,D
10.548231,12.522538,A
12.522538,14.565282999999999,A
14.565282999999999,16.562199,B
16.562199,18.651995,D
18.651995,20.648911,A
20.648911,22.703877,A:7
22.703877,24.735623,D
24.735623,26.790589,D:min
26.790589,28.810725,A
28.810725,30.830861,A
30.830861,32.874217,B
32.874217,33.698526,D
33.698526,36.821609,A
36.821609,37.657528000000006,D
37.657528000000006,40.885102,A
40.885102,42.916848,A
42.916848,45.006643,B
45.006643,47.073219,D
47.073219,49.128184999999995,A
49.128184999999995,51.171541,A
51.171541,53.226507,B
53.226507,55.316303000000005,D
55.316303000000005,57.348048999999996,A
57.348048999999996,59.437844999999996,A:7
59.437844999999996,61.492810999999996,D
61.492810999999996,63.559387,D:min
63.559387,65.649183,A
65.649183,67.66931899999999,A
67.66931899999999,69.770725,B
69.770725,70.583424,D
70.583424,73.83421700000001,A
73.83421700000001,74.635306,D
74.635306,77.920929,A
77.920929,80.010725,B:min
80.010725,82.065691,B:hdim7/b3
82.065691,84.132267,D:dim7
84.132267,86.26850300000001,A
86.26850300000001,90.308775,B
90.308775,92.41018100000001,E:sus4(b7)
92.41018100000001,94.511587,E
94.511587,96.62460300000001,A
96.62460300000001,98.714399,B
98.714399,100.839024,D
100.839024,102.847551,A
102.847551,104.94895600000001,A
104.94895600000001,107.01553200000001,B
107.01553200000001,109.15176799999999,D
109.15176799999999,111.21834399999999,A
111.21834399999999,113.33136,A:7
113.33136,115.444376,D
115.444376,117.545782,D:min
117.545782,119.658798,A
119.658798,121.818253,A
121.818253,123.88482900000001,B
123.88482900000001,124.67430800000001,D
124.67430800000001,128.02959099999998,A
128.02959099999998,128.79585,D
128.79585,132.11630300000002,A
132.11630300000002,134.217709,B:min
134.217709,136.261065,B:hdim7/b3
136.261065,138.362471,D:dim7
138.362471,140.47548700000002,A
140.47548700000002,144.689909,B
144.689909,146.826145,E:sus4(b7)
146.826145,148.857891,E
148.857891,150.970907,A
150.970907,153.09553200000002,B:7
153.09553200000002,155.208548,D
155.208548,157.309954,A
157.309954,159.41136,A
159.41136,161.535986,B:7
161.535986,163.66061200000001,D
163.66061200000001,165.715578,A
165.715578,167.782154,A:7
167.782154,169.953219,D
169.953219,172.043015,D:min
172.043015,174.22569099999998,A
174.22569099999998,176.373537,A
176.373537,178.474943,B:7
178.474943,179.28764099999998,D
179.28764099999998,182.666145,A
182.666145,183.38596299999998,D
183.38596299999998,186.822517,A
186.822517,188.900702,A
188.900702,190.990498,B:7
190.990498,193.091904,D
193.091904,197.248276,A
197.248276,202.60571399999998,N
