begin,end,chord
0.0,0.45954300000000003,N
0.45954300000000003,0.714724,B:(6)
0.714724,0.950652,B:(1)
0.950652,1.168004,B:(6)
1.168004,3.082765,E
3.082765,4.952222,C#:min
4.952222,6.833038,F#:min9
6.833038,8.771904,B
8.771904,10.583061,E
10.583061,12.405827,G#
12.405827,14.228594000000001,F#:min
14.228594000000001,16.0978,B
16.0978,17.850907,E
17.850907,19.685283,G#
19.685283,21.496439000000002,F#:min
21.496439000000002,23.330816,B
23.330816,25.165192,E
25.165192,26.964739,C#:min
26.964739,28.764284999999997,F#:min9
28.764284999999997,30.552221999999997,B
30.552221999999997,32.386598,E
32.386598,34.209365000000005,G#
34.209365000000005,36.008911,F#:min
36.008911,37.820068,B
37.820068,39.608004,E
39.608004,41.407551,G#
41.407551,43.183877,F#:min
43.183877,45.087913,B
45.087913,46.88746,E
46.88746,48.733446,C#:min
48.733446,50.521383,F#:min9
50.521383,52.344149,B
52.344149,54.190135999999995,F#:min
54.190135999999995,55.943242000000005,D
55.943242000000005,57.824057999999994,G
57.824057999999994,59.61199499999999,C
59.61199499999999,63.245918,G
63.245918,65.045464,G
65.045464,66.833401,C
66.833401,68.679387,F
68.679387,70.478934,E
70.478934,72.27848,G#
72.27848,74.04319699999999,F#:min
74.04319699999999,75.947233,B
75.947233,77.74678,E
77.74678,79.569546,G#
79.569546,81.35748199999999,F#:min
81.35748199999999,83.215079,B
83.215079,85.072675,E
85.072675,86.930272,C#:min
86.930272,88.71820799999999,F#:min9
88.71820799999999,90.552585,B
90.552585,92.340521,F#:min
92.340521,94.140068,D
94.140068,95.997664,G
95.997664,97.80882,C
97.80882,101.407913,G
101.407913,103.2539,G
103.2539,105.007006,C
105.007006,106.852993,F
106.852993,108.67575900000001,E
108.67575900000001,110.498526,G#
110.498526,112.32129199999999,F#:min
112.32129199999999,114.144058,B
114.144058,115.943605,E
115.943605,117.81281100000001,G#
117.81281100000001,119.612358,F#:min
119.612358,121.469954,B
121.469954,123.269501,E
123.269501,125.13870700000001,C#:min
125.13870700000001,126.949863,F#:min9
126.949863,128.81906999999998,B
128.81906999999998,130.688276,F#:min
130.688276,131.570634,D
131.570634,132.476213,A
132.476213,135.89059699999999,E
135.89059699999999,140.460408,N
