begin,end,chord
0.0,0.47868999999999995,N
0.47868999999999995,2.456077,G
2.456077,3.442925,G
3.442925,4.394943,D
4.394943,5.370181,F
5.370181,6.345419000000001,G
6.345419000000001,8.342335,C
8.342335,9.236303,F
9.236303,10.199931,C
10.199931,11.17517,G
11.17517,12.162018,D
12.162018,13.125646,F
13.125646,14.100883999999999,G
14.100883999999999,16.06297,C
16.06297,17.014988,F
17.014988,18.013446,C
18.013446,19.940701999999998,D
19.940701999999998,20.892720999999998,G
20.892720999999998,21.856348999999998,D
21.856348999999998,22.843197,F
22.843197,23.841655,G
23.841655,25.780521,C
25.780521,26.709319,F
26.709319,27.684557,C
27.684557,28.648184999999998,G
28.648184999999998,29.635034,D
29.635034,30.598662,F
30.598662,31.58551,G
31.58551,33.535986,C
33.535986,34.499614,F
34.499614,35.486462,C
35.486462,36.47331,D
36.47331,37.436938,D/b7
37.436938,38.435396000000004,D/6
38.435396000000004,39.399024,D/5
39.399024,41.361111,G
41.361111,43.311587,C
43.311587,44.263605,D:sus4
44.263605,45.227233,D
45.227233,46.202471,D:maj(2)
46.202471,47.154489,D
47.154489,49.151405,G
49.151405,51.078662,C
51.078662,52.04229,D:sus4
52.04229,53.017528000000006,D
53.017528000000006,53.969545999999994,D:maj(2)
53.969545999999994,54.991224,D
54.991224,56.024512,G
56.024512,56.98814,D
56.98814,57.916938,F
57.916938,58.903786,G
58.903786,60.842653000000006,C
60.842653000000006,61.852720999999995,F
61.852720999999995,62.816349,C
62.816349,63.779977,G
63.779977,64.766825,D
64.766825,65.742063,F
65.742063,66.705691,G
66.705691,68.690997,C
68.690997,69.654625,F
69.654625,70.618253,C
70.618253,72.56873,D
72.56873,73.555578,G
73.555578,74.565646,D
74.565646,75.506054,F
75.506054,76.527732,G
76.527732,78.513038,C
78.513038,79.441836,F
79.441836,80.393854,C
80.393854,81.380702,G
81.380702,82.39076999999999,D
82.39076999999999,83.29634899999999,F
83.29634899999999,84.318027,G
84.318027,86.349773,C
86.349773,87.30179100000001,F
87.30179100000001,88.25380899999999,C
88.25380899999999,89.205827,D
89.205827,90.181065,D/b7
90.181065,91.179523,D/6
91.179523,92.11993100000001,D/5
92.11993100000001,94.116848,G
94.116848,96.044104,C
96.044104,96.984512,D:sus4
96.984512,97.92492,D
97.92492,98.923378,D:maj(2)
98.923378,99.875396,D
99.875396,101.860702,G
101.860702,103.81117900000001,C
103.81117900000001,104.798027,D:sus4
104.798027,105.750045,D
105.750045,106.702063,D:maj(2)
106.702063,107.735351,D
107.735351,108.67575900000001,G
108.67575900000001,109.61616699999999,D
109.61616699999999,110.60301499999998,F
110.60301499999998,111.613083,G
111.613083,113.61,C
113.61,114.550408,F
114.550408,115.514036,C
115.514036,116.51249399999999,G
116.51249399999999,117.52256200000001,D
117.52256200000001,118.46297,F
118.46297,119.461428,G
119.461428,121.493174,C
121.493174,122.456802,F
122.456802,123.40881999999999,C
123.40881999999999,126.910367,G
126.910367,131.448163,N
