begin,end,chord
0.0,0.6127239999999999,N
0.6127239999999999,4.80605,A:min
4.80605,6.820811,A:min
6.820811,8.903639,F:maj7
8.903639,10.937548,A/5
10.937548,12.851927,D:min
12.851927,14.848842999999999,G:7
14.848842999999999,15.824081,C
15.824081,16.810929,C/7
16.810929,18.783807,A:7
18.783807,20.769931,D:7
20.769931,22.778457999999997,G:7
22.778457999999997,24.845034,C
24.845034,26.946439,E
26.946439,28.978184999999996,A:min
28.978184999999996,31.056371000000002,F:maj7
31.056371000000002,33.111337,A
33.111337,35.177913000000004,D:min
35.177913000000004,37.244489,G:7
37.244489,38.219727,C
38.219727,39.218185,C/7
39.218185,41.319590999999996,A:7
41.319590999999996,43.339727,D:7
43.339727,45.371472999999995,G:7
45.371472999999995,47.449659000000004,C
47.449659000000004,50.572743,E
50.572743,52.650929000000005,A:min
52.650929000000005,54.740725,F:maj7
54.740725,56.749251,D:min/b3
56.749251,58.734556999999995,G:9(*3)
58.734556999999995,60.812743000000005,C
60.812743000000005,62.821268999999994,E
62.821268999999994,64.853015,A:min
64.853015,66.907981,F:maj7
66.907981,68.962947,A
68.962947,70.994693,D:min
70.994693,72.991609,G:7
72.991609,74.059727,C
74.059727,75.023356,C/7
75.023356,77.089931,A
77.089931,79.075238,D:7
79.075238,81.11859399999999,G:7
81.11859399999999,83.16195,C
83.16195,85.24013599999999,A
85.24013599999999,87.260272,D:7
87.260272,89.268798,G:7
89.268798,91.34698399999999,C
91.34698399999999,94.458458,E
94.458458,96.559863,A:min
96.559863,98.55678,F:maj7
98.55678,100.582402,D:min/b3
100.582402,102.585442,G:9(*3)
102.585442,104.60557800000001,C
104.60557800000001,106.672154,E
106.672154,108.68068000000001,A:min
108.68068000000001,110.70081599999999,F:maj7
110.70081599999999,112.75578200000001,A/5
112.75578200000001,114.78752800000001,D:min
114.78752800000001,116.84249399999999,G:7
116.84249399999999,117.806122,C
117.806122,118.8278,C/7
118.8278,120.871156,A
120.871156,122.85646200000001,D:7
122.85646200000001,124.934648,G:7
124.934648,126.943174,C
126.943174,128.98653000000002,A
128.98653000000002,131.029886,D:7
131.029886,133.061632,G:7
133.061632,135.093378,C
135.093378,137.171564,A
137.171564,139.16848000000002,D:7
139.16848000000002,141.223446,G:7
141.223446,145.20059799999999,C
145.20059799999999,149.603265,N
