,WikiSong,MetaPath,AudioPath
0,Across the Universe,Across the Universe_beats.csv,Across The Universe (#2).mp3
1,Act Naturally,Act Naturally_beats.csv,Act Naturally.mp3
2,All I've Got to Do,All I've Got To Do_beats.csv,All I've Got To Do.mp3
3,All My Loving,All My Loving_beats.csv,All My Loving.mp3
4,All You Need Is Love,All You Need Is Love_beats.csv,All You Need Is Love.mp3
5,And I Love Her,And I Love Her_beats.csv,And I Love Her.mp3
6,And Your Bird Can Sing,And Your Bird Can Sing_beats.csv,And Your Bird Can Sing.mp3
7,Anna (Go to Him),Anna (Go To Him)_beats.csv,Anna (Go to Him).mp3
8,Another Girl,Another Girl_beats.csv,Another Girl.mp3
9,Any Time at All,Any Time At All_beats.csv,Any Time At All.mp3
10,Ask Me Why,Ask Me Why_beats.csv,Ask Me Why.mp3
11,Baby It's You,Baby It's You_beats.csv,Baby It's You.mp3
12,"Baby, You're a Rich Man",Baby You're A Rich Man_beats.csv,Baby You're A Rich Man.mp3
13,Baby's in Black,Baby's In Black_beats.csv,Baby's In Black.mp3
14,Back in the U.S.S.R.,Back in the USSR_beats.csv,Back In The U.S.S.R..mp3
15,Because,Because_beats.csv,Because.mp3
16,Being for the Benefit of Mr. Kite!,Being For The Benefit Of Mr. Kite_beats.csv,Being For The Benefit Of Mr. Kite!.mp3
17,Birthday,Birthday_beats.csv,Birthday.mp3
18,Blackbird,Black Bird_beats.csv,Blackbird.mp3
19,Blue Jay Way,Blue Jay Way_beats.csv,Blue Jay Way.mp3
20,Boys,Boys_beats.csv,Boys.mp3
21,Can't Buy Me Love,Can't Buy Me Love_beats.csv,Can't Buy Me Love.mp3
22,Carry That Weight,Carry That Weight_beats.csv,Golden Slumbers-Carry That Weight-The End-Her Majesty.mp3
23,Chains,Chains_beats.csv,Chains.mp3
24,Come Together,Come Together_beats.csv,Come Together.mp3
25,The Continuing Story of Bungalow Bill,The Continuing Story of Bungalow Bill_beats.csv,The Continuing Story Of Bungalow Bill.mp3
26,Cry Baby Cry,Cry Baby Cry_beats.csv,Cry Baby Cry.mp3
27,A Day in the Life,A Day In The Life_beats.csv,A Day In The Life.mp3
28,Dear Prudence,Dear Prudence_beats.csv,Dear Prudence.mp3
29,Devil in Her Heart,Devil In Her Heart_beats.csv,Devil In Her Heart.mp3
30,Dig a Pony,Dig a Pony_beats.csv,Dig A Pony.mp3
31,Dig It,Dig It_beats.csv,Dig It.mp3
32,"Dizzy, Miss Lizzy",Dizzy Miss Lizzy_beats.csv,Dizzy Miss Lizzy.mp3
33,Do You Want to Know a Secret,Do You Want To Know A Secret_beats.csv,Do You Want To Know A Secret.mp3
34,Doctor Robert,Doctor Robert_beats.csv,Doctor Robert.mp3
35,Don't Bother Me,Don't Bother Me_beats.csv,Don't Bother Me.mp3
36,Don't Pass Me By,Don't Pass Me By_beats.csv,Don't Pass Me By.mp3
37,Drive My Car,Drive My Car_beats.csv,Drive My Car.mp3
38,Eight Days a Week,Eight Days a Week_beats.csv,Eight Days A Week.mp3
39,Eleanor Rigby,Eleanor Rigby_beats.csv,Eleanor Rigby.mp3
40,The End,The End_beats.csv,Golden Slumbers-Carry That Weight-The End-Her Majesty.mp3
